orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR077C	0.6850952200365578	0.5644941835371242				
YBR078W	-1.4338564497404311	-0.3625287371618505				
YBR081C	-0.8330276776456842	-0.9098843465693374			0.0	0.0
YBR082C	-0.6382504319571118	-0.6526759013811154				
YBR083W	-0.24165410742425256	-0.4144248676651413			0.0	0.0
YBR084C-A					0.0	0.0
YBR084W	-0.9374336217031524	-0.12551476061860736			-1.3980221364509384	0.0
YBR085W	0.34114040733678297	0.2547115618922269			0.0	0.0
YBR086C	0.10752293108301111	-0.40298698581593156				
YBR089C-A	-0.23532455150218914	-0.11298221124687748				
YBR090C	-0.11233861721786666	0.5345509208512569				
YBR092C	-0.2392102543111162	0.07436640597971109				
YBR093C	-0.09020321327575775	0.2587421683929034			0.0	0.0
YBR094W	0.5195027392251151	0.5299326745243135			0.0	0.0
YBR095C	-0.8873147869202324	-1.7405079673068036			0.0	0.0
YBR097W					0.0	0.0
YBR098W	-0.39121515568868487	-2.2329124724988043			0.0	-7.552472547979277
YBR099C	-1.0314375434471843	-4.55502398289981				
YBR101C	0.297259675289319	0.6152195546942372			0.0	0.0
YBR103W	-0.7417567752810139	1.0602135800567845			-1.5621417984902826	0.0
YBR104W	-0.5074953939378636	-0.05475991199850614			0.0	0.0
YBR105C	-1.548782620910352	-0.36063472879872893			0.0	0.0
YBR106W	0.1978052680495924	0.5132459636115124				
