ORF	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR155W	-0.297	-0.585	NaN	NaN	NaN	NaN
YBR156C	NaN	NaN	1.952	2.832	NaN	NaN
YBR157C	NaN	NaN	-0.678	-1.045	NaN	NaN
YBR158W	NaN	NaN	0.711	0.848	NaN	NaN
YBR159W	NaN	NaN	-1.160	-0.690	NaN	NaN
YBR160W	-1.033	-0.667	NaN	NaN	NaN	NaN
YBR161W	NaN	NaN	-0.946	-1.417	NaN	NaN
YBR162C	NaN	NaN	1.041	0.688	NaN	NaN
YBR162W-A	NaN	NaN	0.171	-0.450	NaN	NaN
YBR163W	NaN	NaN	NaN	NaN	1.923	NaN
YBR164C	NaN	NaN	-2.414	-2.238	NaN	NaN
YBR165W	NaN	NaN	-0.052	0.546	NaN	NaN
YBR167C	NaN	NaN	NaN	NaN	NaN	NaN
YBR168W	NaN	NaN	NaN	NaN	NaN	NaN
YBR169C	NaN	NaN	-0.068	0.904	NaN	NaN
YBR170C	NaN	NaN	NaN	NaN	NaN	NaN
YBR171W	NaN	NaN	1.506	-1.058	NaN	NaN
YBR172C	NaN	NaN	-0.126	-0.908	NaN	NaN
YBR173C	NaN	NaN	0.231	0.151	1.773	NaN
YBR174C	NaN	NaN	0.403	0.455	NaN	NaN
YBR175W	NaN	NaN	0.356	0.425	NaN	NaN
YBR176W	NaN	NaN	-0.739	-0.869	NaN	NaN
