orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR295W	-0.43942	1.68815			-0.0	-0.5520627039416985
YBR296C	-0.265063	0.206601			-0.0	-0.0
YBR297W	-0.0615185	1.1362			-0.0	-0.0
YBR298C	-0.468531	1.19138			-0.0	-0.0
YBR299W	-0.634417	0.118164			-0.0	-0.0
YBR300C	-1.35147	1.24337				
YBR301W	-0.756957	-0.0510161			-0.0	-0.0
YCL001W	1.17128	1.07649			-0.0	-0.0
YCL001W-A	-0.727543	2.21535			-0.0	-0.0
YCL002C	0.687166	1.06785			-0.0	-0.0
YCL005W	0.787917	-0.156901				
YCL007C						
YCL008C	0.263898	0.380356				
YCL009C	0.346188	1.1608			-0.0	-0.0
YCL010C	-0.993011	-1.54906			-0.0	-0.0
YCL011C	1.03328	0.107335			-0.0	-0.0
YCL014W	0.7302934999999999	1.071068			-0.0	-0.0
YCL016C	0.125331	0.379693			-0.0	-0.0
YCL022C	0.765119	1.1316				
YCL023C	0.26373	0.852864				
YCL024W	0.698636	1.15721				
YCL025C	1.11446	1.15347				
YCL026C-A	0.274644	0.267891			-0.0	-0.0
YCL027W	0.839294	1.55976				
YCL028W	1.40586	1.23908			-0.0	-0.0
YCL029C	2.53919	-0.529736			-0.0	-0.0
YCL030C	0.0232558	0.34758				
YCL032W	0.496642	0.0213354			-0.0	-0.0
YCL033C	1.19672	0.974637			-0.0	-0.0
YCL034W	0.843137	0.847647			-0.0	-0.0
YCL035C	0.498286	0.328469			-0.0	-0.0
YCL036W	0.121106	2.21996			-0.0	-0.0
YCL037C					-0.0	-0.6208780193313514
YCL038C	0.574917	-0.0308151			-0.0	-0.0
YCL039W	1.19978	1.87481			-0.0	-0.0
YCL040W	0.550602	0.0356627				
YCL042W					-0.0	-0.0
YCL044C	-1.75912	1.44236			-0.0	-0.0
YCL045C	0.0897109	-1.15287			-0.0	-0.0
YCL046W	-1.39977	-0.865839				
YCL047C	-0.796365	-1.45154			-0.0	-0.0
YCL048W	1.3504	0.913156			-0.0	-0.0
YCL049C	-0.343554	0.118304			-0.0	-0.0
YCL050C	0.345825	0.765981			-0.0	-0.0
YCL051W	0.508507	0.352624			-0.0	-0.0
YCL055W	1.33434	2.58396				
YCL056C	-0.108688	0.378872			-0.0	-0.0
YCL057W	0.522107	1.38236			-0.0	-0.0
YCL058C	2.09857	1.49516				
YCL061C	0.823383	0.5705100000000001			-0.0	-0.0
YCL063W	2.43356	0.5690850000000001			-0.0	-0.0
YCL064C	0.251497	0.0448053				
YCL069W	0.0315939	0.425114			-0.0	-0.0
YCL076W	-0.928188	-0.448514				
YCR001W	-0.707331	-0.962854				
YCR002C	1.60838	-2.35687			-0.0	-0.7888215965116795
YCR003W	-2.52974	-1.27392			-1.62115684646631	-0.0
YCR004C	0.074414	0.0370321			-2.17582783817406	-0.0
YCR005C	0.45632	0.518885			-0.0	-0.0
YCR006C	-0.250876	0.212684				
YCR007C	-0.263239	-0.246355			-0.0	-0.0
YCR008W	0.282366	-0.274031			-0.0	-0.0
YCR009C	2.06163	-3.12253				
YCR010C	0.797818	0.293372			-0.0	-0.0
YCR011C	1.18826	0.302361			-0.0	-0.0
YCR014C	0.64672	0.415123			-0.0	-0.0
YCR015C	0.135589	-0.44108			-0.0	-0.0
YCR016W	0.824625	0.12047			-0.0	-0.0
YCR017C	0.235952	-1.00131			-0.0	-0.0
YCR019W	-0.125734	-0.885606			-0.0	-0.0
YCR020C	1.11965	0.55391			-0.5101199800322544	-0.0
YCR020C-A	0.906593	-0.597502			-0.0	-0.0
YCR020W-B						
YCR021C	0.70207	0.592551			-0.0	-0.0
YCR022C	1.14499	0.495023				
YCR023C	0.885319	0.655546				
YCR024C	-10.8332	3.50043			-0.542529626393255	-0.0
YCR024C-A	-2.7652	3.08371			-0.0	-0.0
YCR025C	0.728851	1.35067				
YCR026C	-0.338348	2.03009			-0.0	-0.0
YCR027C	0.375868	1.97758			-0.0	-0.0
YCR028C					-3.9266010862546903	-0.0
YCR028C-A	-5.02174	0.222694			-1.13866207679833	-0.0
YCR030C	-1.25868	-1.4468			-0.0	-0.0
YCR031C	2.20779	1.32866			-0.0	-0.0
YCR032W	-0.214962	-0.844951			-0.0	-0.0
YCR033W	-1.83654	1.27221				
YCR034W	-3.07484	-0.790071				
YCR036W	0.238406	0.881559			-0.0	-0.0
YCR037C	-0.198655	-0.174719			-0.0	-0.0
YCR043C	0.226082	-0.541576			-0.0	-0.0
YCR044C	-0.0400568	0.204542				
YCR045C	0.501099	3.71848			-0.0	-0.0
YCR046C	-1.64355	1.25437			-0.620528559156476	-0.0
YCR047C					-0.0	-0.0
YCR048W	-1.28917	-1.65983			-0.0	-0.0
