orf	hap alpha | growth (spot assay) | (S)-lactic acid [5.1% w/v], pH [2.7] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.5% w/v], pH [4.2] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.28% w/v], pH [2.4] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | (S)-lactic acid [3.1% w/v], pH [2.9] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.4% w/v], pH [4.3] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.24% w/v], pH [2.6] | Kawahata M~Iefuji H, 2006
YJL095W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YJL120W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YJL121C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YJL124C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YJL127C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YJL128C	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YJL129C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YJL140W	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YJL151C	9.98150463520449	9.38800380190674	0.0	0.0	0.0	0.0
YJL154C	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
YJL159W	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
YJL168C	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YJL175W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YJL176C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	0.0
YJL182C	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YJL183W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YJL184W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YJL186W	0.0	9.38800380190674	9.671122594864464	0.0	0.0	0.0
YJL204C	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
YJL206C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YJR075W	9.98150463520449	0.0	0.0	0.0	-4.606255810589833	0.0
YJR082C	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YJR092W	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YJR102C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YJR104C	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YJR121W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YJR127C	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YKL002W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YKL040C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YKL041W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YKL046C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YKL054C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YKL055C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YKL073W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YKL077W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YKL080W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YKL101W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YKL119C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YKL126W	9.98150463520449	0.0	9.671122594864464	0.0	0.0	0.0
YKL139W	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YKL143W	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
YKL176C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
