orf	hap alpha | cell death | phosphate starvation [unknown] | Gresham D~Botstein D, 2011	hap alpha | cell death | leucine starvation [unknown] | Gresham D~Botstein D, 2011
YBR114W	0.006241953610164837	0.0443729034555094
YBR115C	0.00327526151304784	0.0290516378949899
YBR116C	0.0022889399879079	0.0237626247849284
YBR119W	0.065730151765143	0.043828273200258
YBR120C	0.00349285974692674	0.0450922625762598
YBR125C	0.0028820288646935147	0.0538979317687582
YBR126C	0.00437310321037538	0.0162589014576527
YBR128C	0.00579978061413726	0.072389380162622
YBR129C	0.00126722849343158	0.0209001345335917
YBR130C	0.003147501554685215	0.01685331831334585
YBR131W	0.02692414433893075	0.0229987662729597
YBR132C	0.00260586727617757	0.0268688476391955
YBR134W	0.00235879291109868	0.02070869568154385
YBR138C	0.002886012812489595	0.02989069432846205
YBR139W	0.00213596209128112	0.0293790816791986
YBR144C	-0.00150166085401836	0.0336103741055176
