ORF	Growth, colony size;Manganese;12 mM	Growth, colony size;Manganese;25 mM
YHR049W	0.566	0.128
YHR050W	0.709	0.248
YHR051W	0.933	0.360
YHR057C	0.639	0.249
YHR059W	0.653	0.223
YHR060W	0.399	0.227
YHR061C	0.604	0.267
YHR064C	0.313	0.064
YHR066W	0.653	0.230
YHR067W	0.622	0.200
YHR073W	0.523	0.175
YHR075C	0.563	0.252
YHR076W	0.752	0.248
YHR077C	0.508	0.117
YHR078W	0.504	0.145
YHR079C	0.616	0.257
YHR079C-B	0.631	0.237
YHR080C	0.662	0.251
YHR081W	0.474	0.145
YHR082C	0.665	0.265
YHR086W	0.573	0.223
YHR087W	0.444	0.162
YHR091C	0.883	0.313
YHR092C	0.549	0.203
YHR093W	0.707	0.230
YHR094C	0.629	0.168
YHR095W	0.570	0.155
YHR096C	0.615	0.210
YHR097C	0.629	0.234
YHR100C	0.634	0.198
YHR103W	0.562	0.239
YHR104W	0.644	0.262
YHR105W	0.619	0.273
YHR106W	0.708	0.295
YHR108W	0.798	0.558
YHR109W	0.660	0.236
YHR110W	0.517	0.159
YHR111W	0.301	0.114
YHR112C	0.668	0.167
YHR113W	0.621	0.178
YHR114W	0.669	0.225
YHR115C	0.545	0.178
YHR116W	0.862	0.281
YHR117W	0.532	0.213
YHR120W	0.932	0.882
YHR121W	0.531	0.209
YHR123W	0.455	0.222
YHR124W	0.471	0.226
YHR125W	0.575	0.187
YHR126C	0.685	0.222
YHR127W	0.663	0.238
YHR129C	0.541	0.150
YHR130C	0.553	0.166
YHR131C	0.661	0.277
YHR132C	0.798	0.340
YHR132W-A	0.675	0.273
YHR133C	0.573	0.185
YHR134W	0.574	0.177
YHR135C	0.918	0.613
YHR136C	0.687	0.267
YHR137W	0.650	0.215
YHR138C	0.713	0.272
YHR139C	0.485	0.150
YHR139C-A	0.682	0.231
YHR140W	0.710	0.212
YHR142W	0.623	0.195
YHR143W	0.898	0.380
YHR146W	0.639	0.232
YHR147C	1.030	0.595
YHR150W	0.531	0.179
YHR151C	0.658	0.189
YHR152W	0.628	0.214
YHR153C	0.594	0.203
YHR154W	0.557	0.206
YHR155W	0.630	0.245
YHR156C	0.545	0.185
YHR157W	0.640	0.237
YHR158C	0.608	0.195
YHR159W	0.699	0.270
YHR160C	0.755	0.272
YHR161C	0.590	0.203
YHR162W	0.793	0.289
YHR163W	0.580	0.186
YHR167W	0.529	0.100
YHR168W	0.916	0.314
YHR171W	0.611	0.254
YHR176W	0.625	0.209
YHR177W	0.637	0.367
YHR178W	0.630	0.224
YHR179W	0.604	0.207
YHR180W	0.757	0.489
YHR181W	0.705	0.253
YHR182W	0.717	0.270
YHR183W	0.629	0.182
YHR184W	0.622	0.191
YHR185C	0.704	0.281
YHR189W	0.727	0.249
YHR191C	0.502	0.145
YHR193C	1.015	0.594
YHR194W	0.721	0.250
YHR195W	0.610	0.212
YHR198C	0.630	0.226
YHR199C	0.601	0.219
YHR200W	0.538	0.131
YHR202W	0.644	0.243
YHR203C	0.665	0.251
YHR204W	0.697	0.261
YHR206W	0.657	0.186
YHR207C	0.701	0.231
YHR209W	0.651	0.209
YHR210C	0.720	0.306
YIL001W	0.682	0.245
YIL002C	0.626	0.255
YIL005W	0.383	0.184
YIL006W	0.388	0.156
YIL007C	0.355	0.200
YIL008W	0.522	0.268
YIL009C-A	0.512	0.189
YIL009W	1.022	0.629
YIL010W	0.484	0.186
YIL011W	0.950	0.426
YIL012W	0.947	0.480
YIL013C	0.516	0.157
YIL014W	0.773	0.313
YIL015C-A	0.581	0.216
YIL015W	0.810	0.306
YIL016W	0.701	0.219
YIL017C	0.370	0.152
YIL018W	0.374	0.132
YIL020C	0.463	0.110
YIL023C	0.751	0.296
YIL024C	0.490	0.120
YIL025C	0.895	0.551
YIL027C	0.640	0.205
YIL028W	0.352	0.181
YIL029C	0.340	0.194
YIL030C	0.564	0.198
YIL032C	0.587	0.208
YIL034C	0.808	0.399
YIL035C	0.666	0.259
YIL036W	0.846	0.460
YIL037C	0.843	0.289
YIL038C	0.416	0.186
YIL039W	0.435	0.195
YIL040W	0.278	0.115
YIL041W	0.409	0.177
YIL042C	0.416	0.193
YIL043C	0.524	0.166
YIL044C	0.775	0.468
YIL045W	0.634	0.266
YIL047C	1.109	0.592
YIL049W	0.805	0.398
YIL050W	0.388	0.199
YIL052C	0.484	0.186
YIL053W	0.527	0.209
YIL054W	1.155	0.771
YIL055C	0.632	0.218
YIL056W	0.593	0.198
YIL057C	0.636	0.208
YIL058W	0.725	0.308
YIL059C	0.600	0.222
YIL060W	0.639	0.269
YIL064W	0.389	0.197
YIL065C	0.410	0.186
YIL066C	0.664	0.239
YIL067C	0.690	0.275
YIL069C	0.559	0.233
YIL070C	0.842	0.317
YIL071C	0.648	0.208
YIL072W	0.709	0.276
YIL073C	0.385	0.172
YIL074C	0.674	0.207
YIL076W	0.391	0.155
YIL077C	0.384	0.190
YIL079C	0.598	0.259
YIL084C	0.932	0.652
YIL085C	0.666	0.195
YIL086C	0.571	0.236
YIL087C	0.662	0.246
YIL088C	0.776	0.355
YIL089W	0.695	0.198
YIL090W	0.583	0.153
YIL092W	0.535	0.228
YIL093C	1.086	0.613
YIL094C	0.632	0.197
YIL095W	0.757	0.261
YIL096C	0.746	0.267
YIL097W	0.654	0.234
YIL098C	0.309	0.110
YIL099W	0.707	0.363
YIL100W	0.674	0.247
YIL101C	0.675	0.299
YIL102C	0.631	0.240
YIL103W	0.708	0.329
YIL105C	0.772	0.318
YIL107C	0.669	0.169
YIL108W	0.690	0.244
YIL110W	0.386	0.107
YIL111W	0.560	0.225
YIL112W	0.679	0.226
YIL113W	0.625	0.219
YIL114C	0.604	0.230
YIL116W	0.580	0.233
YIL117C	0.660	0.253
YIL119C	0.594	0.224
YIL120W	0.663	0.237
YIL121W	1.029	0.467
YIL122W	0.596	0.174
YIL123W	0.639	0.187
YIL124W	0.617	0.184
YIL125W	0.612	0.173
YIL128W	0.759	0.182
YIL130W	0.590	0.162
YIL131C	0.597	0.174
YIL132C	0.531	0.175
YIL133C	0.974	0.449
YIL134W	0.553	0.194
YIL135C	0.687	0.235
YIL136W	0.671	0.239
YIL137C	0.559	0.240
YIL138C	0.690	0.269
YIL139C	0.714	0.233
YIL140W	0.730	0.219
YIL141W	0.747	0.204
YIL145C	1.138	0.600
YIL146C	0.702	0.238
YIL148W	0.565	0.107
YIL149C	0.724	0.258
YIL152W	0.588	0.185
YIL153W	0.509	0.305
YIL154C	1.026	0.530
YIL155C	0.716	0.240
YIL156W	0.701	0.295
YIL157C	1.082	0.635
YIL158W	0.644	0.230
YIL159W	0.814	0.353
YIL160C	0.639	0.191
YIL161W	0.668	0.188
YIL162W	0.703	0.231
YIL163C	0.607	0.184
YIL164C	0.686	0.220
YIL165C	0.723	0.237
YIL166C	0.621	0.167
YIL167W	0.664	0.261
YIL168W	0.539	0.235
YIL170W	0.703	0.265
YIL173W	0.759	0.286
YIR001C	0.543	0.182
YIR002C	0.682	0.216
YIR003W	0.712	0.269
YIR004W	0.653	0.210
YIR005W	0.556	0.129
YIR007W	0.720	0.272
YIR009W	1.085	0.668
YIR013C	0.684	0.227
YIR014W	0.638	0.200
YIR016W	0.535	0.253
YIR017C	0.603	0.259
YIR018W	0.686	0.275
YIR019C	0.681	0.247
YIR020C	0.717	0.254
YIR020W-B	0.701	0.236
YIR021W	0.704	0.238
YIR023W	0.683	0.213
YIR024C	0.694	0.221
YIR025W	0.629	0.212
YIR026C	0.699	0.253
YIR027C	0.680	0.268
YIR028W	0.633	0.223
YIR029W	0.636	0.253
YIR030C	0.659	0.188
YIR031C	0.592	0.233
YIR032C	0.715	0.238
YIR033W	0.596	0.203
YIR034C	0.739	0.251
YIR035C	0.664	0.216
YIR036C	0.682	0.203
YIR037W	0.664	0.194
YIR038C	0.666	0.204
YIR039C	0.717	0.237
YIR042C	0.631	0.210
YIR043C	0.598	0.189
YIR044C	0.652	0.208
YJL003W	0.803	0.220
YJL004C	0.238	0.079
YJL006C	0.615	0.444
YJL007C	0.741	0.258
YJL012C	1.195	1.289
YJL013C	0.646	0.234
YJL016W	0.601	0.218
YJL017W	0.627	0.205
YJL020C	0.598	0.200
YJL021C	0.614	0.217
YJL022W	0.657	0.260
YJL023C	0.849	0.333
YJL024C	0.995	0.269
YJL027C	0.893	0.404
YJL028W	0.655	0.151
YJL029C	0.140	0.093
YJL030W	0.664	0.274
YJL036W	0.658	0.348
YJL037W	0.648	0.240
YJL038C	0.643	0.199
YJL042W	0.676	0.263
YJL043W	0.634	0.155
YJL044C	0.643	0.182
YJL045W	0.689	0.203
YJL046W	0.436	0.111
YJL047C	0.486	0.151
YJL048C	0.737	0.281
YJL049W	0.663	0.253
YJL051W	0.614	0.217
YJL052W	0.761	0.273
YJL053W	0.434	0.132
YJL055W	0.625	0.191
YJL056C	0.530	0.212
YJL057C	0.727	0.197
YJL058C	0.710	0.195
YJL059W	0.675	0.200
YJL060W	0.652	0.218
YJL062W	0.585	0.188
YJL063C	0.660	0.235
YJL064W	0.679	0.250
YJL065C	0.652	0.236
YJL066C	0.650	0.206
YJL067W	0.672	0.186
YJL068C	0.643	0.165
YJL070C	0.676	0.306
YJL071W	0.740	0.221
YJL073W	0.729	0.239
YJL075C	0.631	0.180
YJL077C	0.708	0.216
YJL078C	0.681	0.282
YJL079C	0.704	0.240
YJL080C	0.500	0.103
YJL082W	0.652	0.251
YJL083W	0.668	0.243
YJL084C	0.671	0.249
YJL088W	0.666	0.224
YJL089W	0.693	0.207
YJL092W	0.628	0.193
YJL093C	0.631	0.176
YJL094C	0.665	0.261
YJL095W	0.444	0.101
YJL096W	0.872	0.255
YJL098W	0.660	0.215
YJL099W	0.660	0.179
YJL100W	0.626	0.166
YJL101C	0.862	0.296
YJL102W	0.909	0.294
YJL105W	0.696	0.220
YJL106W	0.698	0.257
YJL107C	0.691	0.256
YJL108C	0.714	0.236
YJL110C	0.749	0.311
YJL112W	0.676	0.203
YJL115W	0.466	0.135
YJL116C	0.752	0.234
YJL117W	0.746	0.210
YJL118W	0.672	0.233
YJL119C	0.666	0.212
YJL120W	0.712	0.284
YJL121C	0.324	0.131
YJL122W	0.697	0.272
YJL123C	0.642	0.211
YJL124C	0.708	0.254
YJL126W	0.685	0.226
YJL127C	0.628	0.298
YJL128C	0.597	0.198
YJL129C	0.415	0.154
YJL130C	0.685	0.238
YJL131C	0.595	0.169
YJL132W	0.633	0.206
YJL133W	0.652	0.170
YJL134W	0.500	0.198
YJL135W	0.553	0.233
YJL136C	0.553	0.079
YJL137C	0.639	0.251
YJL138C	0.670	0.259
YJL139C	0.647	0.238
YJL140W	0.731	0.495
YJL141C	0.619	0.154
YJL142C	0.673	0.250
YJL144W	0.601	0.235
YJL145W	0.637	0.180
YJL146W	0.717	0.206
YJL147C	0.626	0.164
YJL148W	0.753	0.297
YJL149W	0.639	0.204
YJL150W	0.556	0.175
YJL151C	0.639	0.221
YJL152W	0.588	0.211
YJL153C	0.607	0.261
YJL154C	0.479	0.176
YJL155C	0.646	0.217
YJL157C	0.606	0.207
YJL158C	0.627	0.184
YJL159W	0.631	0.203
YJL160C	0.635	0.208
YJL161W	0.672	0.236
YJL162C	0.623	0.170
YJL163C	0.566	0.198
YJL164C	0.500	0.188
YJL165C	0.455	0.145
YJL166W	0.827	0.297
YJL168C	0.409	0.273
YJL169W	0.509	0.337
YJL170C	0.598	0.221
YJL171C	0.609	0.191
YJL172W	0.607	0.188
YJL175W	0.397	0.096
YJL176C	0.229	0.110
YJL177W	0.634	0.216
YJL178C	0.648	0.149
YJL179W	0.456	0.110
YJL180C	0.171	0.053
YJL181W	0.634	0.218
YJL182C	0.557	0.179
YJL183W	0.519	0.193
YJL184W	0.194	0.085
YJL185C	0.555	0.227
YJL186W	0.655	0.257
YJL187C	0.597	0.212
YJL188C	0.706	0.274
YJL189W	0.675	0.161
YJL190C	0.497	0.201
YJL191W	0.587	0.211
YJL192C	0.518	0.154
YJL193W	0.694	0.176
YJL196C	0.618	0.160
YJL197W	0.560	0.216
YJL198W	0.562	0.222
YJL199C	0.632	0.243
YJL200C	0.616	0.229
YJL201W	0.634	0.235
YJL204C	0.391	0.126
YJL206C	0.514	0.182
YJL206C-A	0.541	0.170
YJL207C	0.645	0.184
YJL208C	0.539	0.135
YJL209W	0.677	0.174
YJL210W	0.672	0.192
YJL211C	0.711	0.174
YJL212C	0.600	0.175
YJL213W	0.575	0.246
YJL214W	0.619	0.189
YJL215C	0.586	0.213
YJL216C	0.558	0.190
YJL217W	0.590	0.183
YJL218W	0.588	0.141
YJR001W	0.738	0.295
YJR003C	0.622	0.200
YJR004C	0.824	0.287
YJR005W	0.776	0.336
YJR008W	0.720	0.275
YJR009C	0.684	0.291
YJR010C-A	0.615	0.203
YJR010W	0.574	0.166
YJR011C	0.708	0.223
YJR014W	0.683	0.238
YJR015W	0.495	0.115
YJR018W	0.641	0.182
YJR019C	0.658	0.236
YJR020W	0.668	0.225
YJR021C	0.673	0.243
YJR024C	0.680	0.274
YJR025C	0.781	0.310
YJR026W	0.632	0.183
YJR030C	0.668	0.213
YJR031C	0.696	0.244
YJR032W	0.938	0.474
YJR033C	0.179	0.095
YJR034W	0.506	0.107
YJR035W	0.760	0.323
YJR036C	0.667	0.235
YJR037W	0.659	0.211
YJR038C	0.619	0.175
YJR039W	0.412	0.123
YJR040W	0.503	0.143
YJR043C	0.462	0.120
YJR044C	0.489	0.076
YJR047C	0.660	0.194
YJR048W	0.697	0.222
YJR049C	0.671	0.227
YJR050W	0.907	0.495
YJR051W	0.709	0.245
YJR052W	0.633	0.216
YJR053W	0.668	0.160
YJR054W	0.779	0.234
YJR055W	0.329	0.109
YJR056C	0.731	0.256
YJR058C	0.760	0.302
YJR059W	0.861	0.423
YJR060W	0.460	0.205
YJR061W	0.697	0.244
YJR062C	0.743	0.242
YJR063W	0.792	0.329
YJR066W	0.594	0.218
YJR069C	0.681	0.239
YJR070C	1.008	0.558
YJR073C	0.662	0.228
YJR074W	0.270	0.115
YJR075W	0.760	0.203
YJR077C	0.757	0.202
YJR078W	0.607	0.248
YJR079W	0.677	0.223
YJR080C	0.582	0.189
YJR082C	0.741	0.346
YJR083C	0.590	0.180
YJR084W	0.563	0.210
YJR087W	0.635	0.219
YJR088C	0.519	0.122
YJR090C	0.639	0.103
YJR091C	0.556	0.187
YJR092W	0.658	0.164
YJR094C	0.643	0.244
YJR094W-A	0.706	0.255
YJR095W	0.680	0.232
YJR096W	0.691	0.255
YJR097W	0.702	0.344
YJR098C	0.776	0.365
YJR099W	0.689	0.259
YJR100C	0.591	0.185
YJR102C	0.632	0.181
YJR103W	0.691	0.212
YJR104C	1.075	0.323
YJR105W	0.433	0.127
YJR106W	0.721	0.266
YJR107W	0.608	0.189
YJR108W	0.641	0.228
YJR109C	0.634	0.220
YJR110W	0.528	0.159
YJR111C	0.687	0.245
YJR113C	1.181	1.002
YJR115W	0.727	0.221
YJR116W	0.661	0.236
YJR117W	0.593	0.153
YJR118C	0.803	0.260
YJR119C	0.646	0.210
YJR120W	0.701	0.187
YJR121W	0.704	0.164
YJR122W	0.582	0.246
YJR124C	0.490	0.134
YJR125C	0.560	0.207
YJR126C	0.637	0.187
YJR127C	0.649	0.170
YJR128W	0.714	0.857
YJR129C	0.505	0.149
YJR130C	0.661	0.168
YJR131W	0.707	0.241
YJR133W	0.651	0.246
YJR134C	0.672	0.203
YJR135C	0.616	0.168
YJR137C	0.472	0.182
YJR139C	1.301	0.417
YJR140C	0.734	0.276
YJR142W	0.645	0.191
YJR144W	1.339	1.145
YJR145C	0.514	0.136
YJR146W	0.575	0.186
YJR147W	0.669	0.230
YJR148W	0.583	0.168
YJR149W	0.690	0.246
YJR150C	0.616	0.185
YJR152W	0.720	0.247
YJR153W	0.621	0.186
YJR154W	0.638	0.222
YKL001C	0.653	0.298
YKL002W	0.376	0.161
YKL003C	0.963	0.507
YKL005C	0.670	0.248
YKL006W	0.569	0.142
YKL007W	0.790	0.422
YKL008C	0.658	0.261
YKL009W	0.743	0.369
YKL010C	0.622	0.181
YKL011C	0.723	0.295
YKL015W	0.634	0.354
YKL016C	0.865	0.428
YKL017C	0.681	0.341
YKL020C	0.609	0.283
YKL023W	0.542	0.133
YKL025C	0.755	0.215
YKL026C	0.740	0.284
YKL027W	0.672	0.251
YKL029C	0.672	0.240
YKL030W	0.558	0.169
YKL031W	0.611	0.226
YKL032C	0.646	0.293
YKL033W-A	0.647	0.218
YKL034W	0.623	0.289
YKL037W	0.655	0.306
YKL038W	0.692	0.334
YKL039W	0.637	0.283
YKL040C	0.596	0.263
YKL041W	0.324	0.110
YKL043W	0.666	0.247
YKL044W	0.696	0.282
YKL046C	0.725	0.300
YKL047W	0.710	0.245
YKL048C	0.626	0.166
YKL050C	0.674	0.277
YKL051W	0.623	0.287
YKL053C-A	0.689	0.298
YKL053W	0.593	0.289
YKL054C	0.764	0.299
YKL055C	0.550	0.204
YKL056C	0.626	0.298
YKL057C	0.604	0.256
YKL061W	0.692	0.259
YKL062W	0.697	0.280
YKL063C	0.671	0.356
YKL064W	0.185	0.048
YKL065C	0.683	0.335
YKL066W	0.660	0.276
YKL067W	0.689	0.316
YKL068W	0.678	0.309
YKL069W	0.667	0.303
YKL070W	0.708	0.273
YKL071W	0.708	0.246
YKL072W	0.737	0.284
YKL073W	0.712	0.357
YKL074C	0.584	0.185
YKL075C	0.616	0.188
YKL076C	0.627	0.267
YKL077W	0.856	0.585
YKL079W	0.696	0.281
YKL080W	0.423	0.260
YKL081W	0.257	0.120
YKL084W	0.624	0.265
YKL085W	0.616	0.222
YKL086W	0.719	0.279
YKL087C	0.766	0.247
YKL090W	0.689	0.252
YKL091C	0.656	0.253
YKL092C	0.644	0.271
YKL093W	0.673	0.277
YKL094W	0.653	0.295
YKL096W	0.670	0.330
YKL096W-A	0.650	0.214
YKL097C	0.640	0.305
YKL098W	0.777	0.384
YKL100C	0.642	0.285
YKL101W	0.604	0.203
YKL102C	0.696	0.366
YKL103C	0.618	0.234
YKL105C	0.693	0.223
YKL106W	0.645	0.271
YKL107W	0.634	0.267
YKL109W	0.768	0.356
YKL110C	0.581	0.273
YKL113C	0.473	0.201
YKL114C	0.648	0.305
YKL115C	0.703	0.235
YKL116C	0.666	0.273
YKL117W	0.563	0.218
YKL118W	0.392	0.171
YKL119C	0.320	0.143
YKL120W	0.678	0.279
YKL121W	0.584	0.144
YKL123W	0.613	0.214
YKL124W	0.579	0.213
YKL126W	0.618	0.267
YKL127W	0.644	0.292
YKL128C	0.661	0.333
YKL129C	0.607	0.347
YKL130C	0.760	0.400
YKL131W	0.664	0.278
YKL132C	0.662	0.264
YKL133C	0.683	0.265
YKL134C	0.864	0.281
YKL135C	0.399	0.092
YKL136W	0.466	0.149
YKL137W	0.640	0.229
YKL138C	0.617	0.269
YKL139W	0.578	0.505
YKL140W	0.565	0.263
YKL142W	0.646	0.337
YKL143W	0.627	0.352
YKL146W	0.660	0.315
YKL147C	0.636	0.244
YKL148C	0.640	0.153
YKL149C	0.857	0.386
YKL150W	0.657	0.226
YKL151C	0.542	0.164
YKL155C	0.833	0.236
YKL156W	0.628	0.225
YKL157W	0.640	0.262
YKL158W	0.673	0.404
YKL159C	0.664	0.470
YKL160W	0.738	0.356
YKL161C	0.693	0.309
YKL162C	0.702	0.292
YKL162C-A	0.657	0.242
YKL163W	0.710	0.390
YKL164C	0.690	0.262
YKL166C	0.781	0.360
YKL167C	0.738	0.277
YKL168C	0.575	0.207
YKL169C	0.780	0.384
YKL170W	0.829	0.316
YKL171W	0.657	0.308
YKL174C	0.613	0.272
YKL175W	0.678	0.302
YKL176C	0.550	0.207
YKL177W	0.673	0.259
YKL178C	0.672	0.260
YKL179C	0.617	0.166
YKL183W	0.657	0.235
YKL184W	0.462	0.195
YKL185W	0.634	0.275
YKL187C	0.633	0.264
YKL188C	0.648	0.292
YKL190W	0.050	0.030
YKL191W	0.642	0.230
YKL194C	0.931	0.276
YKL197C	0.751	0.224
YKL198C	0.752	0.303
YKL199C	0.656	0.282
YKL200C	0.532	0.166
YKL201C	0.621	0.170
YKL202W	0.529	0.144
YKL204W	0.664	0.174
YKL205W	0.579	0.236
YKL206C	0.616	0.264
YKL207W	0.570	0.186
YKL208W	0.785	0.247
YKL211C	0.539	0.184
YKL212W	0.620	0.288
YKL213C	0.285	0.064
YKL214C	0.571	0.153
YKL215C	0.575	0.148
YKL216W	0.579	0.238
YKL217W	1.002	0.563
YKL218C	0.546	0.163
YKL220C	0.584	0.161
YKL221W	0.616	0.226
YKL222C	0.592	0.237
YKR001C	0.174	0.104
YKR003W	0.646	0.215
YKR005C	0.677	0.211
YKR006C	0.783	0.237
YKR007W	0.499	0.153
YKR009C	0.748	0.229
YKR010C	0.504	0.182
YKR011C	0.667	0.182
YKR012C	0.719	0.229
YKR013W	0.647	0.192
YKR014C	0.680	0.213
YKR015C	0.643	0.215
YKR016W	0.728	0.264
YKR017C	0.605	0.225
YKR018C	0.557	0.186
YKR019C	0.219	0.097
YKR020W	0.253	0.110
YKR021W	0.399	0.108
YKR023W	0.583	0.243
YKR024C	0.523	0.129
YKR026C	0.607	0.169
YKR027W	0.550	0.164
YKR028W	0.956	0.587
YKR029C	0.805	0.276
YKR030W	0.481	0.171
YKR031C	0.618	0.154
YKR032W	0.669	0.223
YKR033C	0.556	0.230
YKR034W	0.584	0.175
YKR035C	0.312	0.125
YKR035W-A	0.346	0.125
YKR036C	0.504	0.188
YKR039W	0.603	0.142
YKR040C	0.614	0.141
YKR041W	0.509	0.120
YKR042W	0.730	0.235
YKR043C	0.668	0.249
YKR044W	0.638	0.238
YKR045C	0.617	0.223
YKR046C	0.567	0.161
YKR047W	0.647	0.212
YKR048C	0.647	0.207
YKR049C	0.644	0.207
YKR050W	0.650	0.208
YKR051W	0.695	0.223
YKR052C	0.586	0.179
YKR053C	0.577	0.173
YKR054C	0.650	0.192
YKR055W	0.720	0.300
YKR056W	0.584	0.203
YKR057W	0.590	0.197
YKR058W	0.532	0.165
YKR059W	0.609	0.249
YKR060W	0.629	0.234
YKR061W	0.670	0.222
YKR064W	0.611	0.182
YKR065C	0.684	0.227
YKR066C	0.672	0.250
YKR067W	0.691	0.236
YKR069W	0.649	0.204
YKR070W	0.701	0.224
YKR072C	0.570	0.196
YKR073C	0.605	0.210
YKR074W	0.755	0.252
YKR075C	0.681	0.233
YKR076W	0.700	0.272
YKR077W	0.654	0.223
YKR078W	0.657	0.225
YKR080W	0.680	0.257
YKR082W	0.463	0.122
YKR084C	0.619	0.243
YKR085C	0.849	0.290
YKR087C	0.705	0.236
YKR088C	0.627	0.160
YKR089C	0.530	0.185
YKR090W	0.697	0.189
YKR091W	0.501	0.108
YKR092C	0.533	0.106
YKR093W	0.640	0.186
YKR094C	0.724	0.261
YKR095W	0.708	0.288
YKR096W	0.614	0.189
YKR097W	0.567	0.184
YKR098C	0.517	0.200
YKR099W	0.589	0.165
YKR100C	0.654	0.241
YKR101W	0.741	0.313
YKR102W	0.721	0.330
YKR103W	0.658	0.207
YKR104W	0.702	0.205
YKR105C	0.718	0.207
YKR106W	0.678	0.287
YLL001W	0.716	0.261
YLL002W	0.493	0.226
YLL005C	0.631	0.215
YLL006W	0.671	0.301
YLL007C	0.359	0.089
YLL009C	0.806	0.392
YLL010C	0.514	0.225
YLL012W	0.599	0.248
YLL013C	0.667	0.312
YLL014W	0.670	0.282
YLL015W	0.661	0.272
YLL016W	0.679	0.274
YLL017W	0.695	0.282
YLL018C-A	0.425	0.097
YLL019C	0.690	0.241
YLL020C	0.593	0.165
YLL021W	0.630	0.207
YLL023C	0.575	0.180
YLL024C	0.616	0.248
YLL025W	0.605	0.261
YLL026W	0.714	0.346
YLL027W	0.626	0.280
YLL028W	0.627	0.263
YLL029W	0.986	0.985
YLL030C	0.984	0.665
YLL032C	0.745	0.425
YLL033W	0.864	0.312
YLL038C	0.473	0.187
YLL039C	0.602	0.135
YLL040C	0.558	0.154
YLL041C	0.585	0.154
YLL042C	0.623	0.289
YLL043W	0.431	0.089
YLL044W	0.831	0.454
YLL045C	0.639	0.255
YLL046C	0.637	0.251
YLL047W	0.609	0.230
YLL048C	0.683	0.221
YLL049W	0.940	0.552
YLL051C	0.613	0.214
YLL052C	0.629	0.205
YLL053C	0.625	0.189
YLL054C	0.627	0.158
YLL055W	0.923	0.401
YLL056C	0.640	0.256
YLL057C	0.620	0.262
YLL058W	0.612	0.301
YLL059C	0.648	0.195
YLL060C	0.648	0.331
YLL061W	0.662	0.327
YLL062C	0.640	0.306
YLL063C	0.648	0.284
YLR001C	0.784	0.527
YLR003C	0.636	0.225
YLR004C	0.666	0.240
YLR006C	0.554	0.195
YLR011W	0.618	0.187
YLR012C	0.654	0.255
YLR013W	0.657	0.265
YLR014C	0.634	0.319
YLR015W	0.712	0.265
YLR016C	0.661	0.372
YLR017W	0.661	0.392
YLR018C	0.637	0.289
YLR019W	0.563	0.293
YLR020C	0.692	0.313
YLR021W	0.665	0.206
YLR023C	0.699	0.255
YLR024C	0.704	0.135
YLR025W	0.627	0.187
YLR027C	0.725	0.273
YLR028C	0.613	0.270
YLR030W	0.720	0.201
YLR031W	0.767	0.230
YLR032W	0.468	0.131
YLR034C	0.885	0.388
YLR035C	0.743	0.257
YLR036C	0.719	0.242
YLR037C	0.698	0.244
YLR038C	0.881	0.296
YLR039C	0.190	0.105
YLR040C	0.742	0.250
YLR041W	0.665	0.177
YLR042C	0.643	0.311
YLR043C	0.600	0.277
YLR044C	0.678	0.343
YLR046C	0.750	0.432
YLR047C	0.695	0.283
YLR048W	0.505	0.154
YLR049C	0.666	0.220
YLR050C	0.693	0.213
YLR052W	0.754	0.329
YLR053C	0.685	0.243
YLR054C	0.617	0.191
YLR055C	0.331	0.093
YLR056W	1.149	1.504
YLR057W	0.651	0.294
YLR058C	0.625	0.313
YLR059C	0.638	0.284
YLR061W	0.828	0.456
YLR062C	0.674	0.253
YLR063W	0.681	0.285
YLR064W	0.694	0.283
YLR065C	0.719	0.216
YLR067C	0.860	0.281
YLR068W	0.639	0.151
YLR069C	0.839	0.290
YLR070C	0.660	0.258
YLR072W	0.720	0.410
YLR073C	0.661	0.390
YLR074C	0.725	0.257
YLR077W	0.599	0.266
YLR079W	0.377	0.158
YLR080W	0.655	0.209
YLR081W	0.681	0.265
YLR082C	0.725	0.280
YLR083C	0.780	0.265
YLR084C	0.677	0.224
YLR085C	0.231	0.102
YLR087C	0.855	0.598
YLR089C	0.672	0.264
YLR090W	0.644	0.273
YLR091W	0.845	0.395
YLR092W	0.672	0.319
YLR093C	0.768	0.566
YLR094C	0.660	0.298
YLR095C	0.723	0.403
YLR096W	0.713	0.292
YLR097C	0.731	0.291
YLR098C	0.679	0.277
YLR099C	0.618	0.202
YLR102C	0.581	0.198
YLR104W	0.569	0.271
YLR107W	0.617	0.284
YLR108C	0.592	0.229
YLR109W	0.633	0.261
YLR110C	0.734	0.289
YLR111W	0.655	0.275
YLR112W	0.669	0.257
YLR113W	0.641	0.268
YLR114C	0.851	0.272
YLR118C	0.672	0.247
YLR119W	0.444	0.092
YLR120C	0.638	0.259
YLR121C	0.614	0.272
YLR122C	0.630	0.280
YLR123C	0.640	0.299
YLR124W	0.607	0.263
YLR125W	0.641	0.268
YLR126C	0.673	0.242
YLR128W	0.711	0.275
YLR130C	0.699	0.245
YLR131C	0.657	0.165
YLR133W	0.476	0.145
YLR134W	0.595	0.200
YLR135W	0.580	0.182
YLR136C	0.586	0.194
YLR137W	0.584	0.192
YLR138W	0.866	0.473
YLR139C	0.939	0.816
YLR142W	0.668	0.236
YLR143W	0.721	0.285
YLR144C	0.676	0.218
YLR146C	0.618	0.221
YLR148W	NaN	NaN
