ORF      	strain background 	Gene Names                        	Cell Shape Morphologies                         
YBR233W  	homozygous diploid	PBP2                              	WT                                              
YBR235W  	homozygous diploid	                                  	WT                                              
YBR238C  	homozygous diploid	                                  	WT                                              
YBR239C  	homozygous diploid	                                  	WT                                              
YBR240C  	homozygous diploid	THI2, PHO6                        	WT                                              
YBR241C  	homozygous diploid	                                  	WT                                              
YBR242W  	homozygous diploid	                                  	WT                                              
YBR244W  	homozygous diploid	GPX2, AMI1                        	Large 2                                         
YBR245C  	homozygous diploid	ISW1, SGN2                        	WT                                              
YBR246W  	homozygous diploid	                                  	WT                                              
YBR248C  	homozygous diploid	HIS7                              	WT                                              
YBR249C  	homozygous diploid	ARO4                              	WT                                              
YBR250W  	homozygous diploid	                                  	WT                                              
YBR251W  	homozygous diploid	MRPS5                             	Small 2                                         
YBR255W  	homozygous diploid	                                  	WT                                              
YBR258C  	homozygous diploid	                                  	WT                                              
YBR259W  	homozygous diploid	                                  	WT                                              
YBR260C  	homozygous diploid	RGD1                              	WT                                              
YBR261C  	homozygous diploid	                                  	WT                                              
YBR262C  	homozygous diploid	                                  	WT                                              
YBR263W  	homozygous diploid	SHM1, SHMT1, TMP3                 	WT                                              
YBR264C  	homozygous diploid	YPT10                             	WT                                              
YBR266C  	homozygous diploid	                                  	Small 3                                         
YBR267W  	homozygous diploid	                                  	Small 3                                         
YBR268W  	homozygous diploid	MRPL37, YML37                     	WT                                              
YBR269C  	homozygous diploid	                                  	WT                                              
YBR270C  	homozygous diploid	                                  	WT                                              
YBR271W  	homozygous diploid	                                  	Football 2                                      
YBR272C  	homozygous diploid	HSM3                              	WT                                              
YBR273C  	homozygous diploid	                                  	WT                                              
YBR274W  	homozygous diploid	CHK1                              	WT                                              
YBR275C  	homozygous diploid	RIF1                              	WT                                              
YBR276C  	homozygous diploid	PPS1                              	WT                                              
YBR277C  	homozygous diploid	                                  	WT                                              
YBR278W  	homozygous diploid	DPB3                              	Large 2;  Elongate 2                             
YBR279W  	homozygous diploid	PAF1                              	WT                                              
YBR280C  	homozygous diploid	                                  	WT                                              
YBR281C  	homozygous diploid	                                  	WT                                              
