orf	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YLR153C	0.01212000000000002		-0.013309999999999933		0.0011400000000000299		0.02899000000000007		0.02120999999999995		0.00653999999999999		0.016120000000000134		0.028019999999999934	
YLR154C	-0.0162199999999999	0.0069150000000000045	0.005760000000000209	-0.002255000000000007	-0.00517999999999974	0.00761999999999996	0.01868000000000003	0.026285000000000114	-0.00020999999999982144	0.015554999999999986	0.017410000000000148	0.018155000000000143	-0.005149999999999766	0.01793	0.021380000000000177	0.018875000000000197
YLR163C	0.011024999999999952		0.0017049999999998455		-0.02507500000000007		-0.045704999999999996		-0.018075000000000063		0.009354999999999891		-0.0017899999999999583		-0.04744500000000007	
YLR164W	0.014879999999999782	0.007989999999999942	-0.005610000000000115	-0.02529999999999999	-0.030320000000000125	-0.012464999999999948	-0.056050000000000044	-0.015224999999999933	-0.023400000000000087	-0.0038399999999998435	0.0036399999999998656	0.000600000000000156	-0.008935000000000137	-0.010189999999999921	-0.0383	-0.019164999999999988
YLR165C	0.02259000000000011	0.011054999999999815	-0.022600000000000064	-0.020495000000000152	-0.04303000000000001	-0.008605000000000196	-0.07557999999999998	-0.032030000000000225	-0.025880000000000014	0.00039499999999970115	-0.013340000000000019	-0.008585000000000287	-0.01154999999999995	-0.011815000000000131	-0.08412999999999993	-0.030440000000000245
YLR166C	-0.01140500000000011		-0.01957500000000012		-0.01132500000000003		-0.021055000000000157		-0.035275000000000056		-0.03159500000000015		-0.025540000000000118		-0.012245000000000172	
YLR167W	-0.004430000000000045		-0.016429999999999945		-0.006730000000000014		0.02644000000000002		0.010950000000000126		0.008510000000000018		0.023685000000000178		0.04642999999999997	
YLR168C		0.00578500000000004		-0.016525000000000012		-0.0317400000000001		-0.14423000000000008		-0.12812500000000004		-0.13273500000000005		-0.07032000000000016		-0.10728999999999989
YLR169W	-0.018874999999999975	0.017405000000000115	-0.007894999999999985	-0.011054999999999815	-0.020464999999999955	-0.00959500000000002	-0.013524999999999898	-0.024354999999999905	-0.029474999999999918	-0.04035499999999981	-0.014264999999999861	-0.026104999999999823	-0.014140000000000041	-0.02758499999999997	-0.001454999999999984	-0.01055499999999987
YLR170C	-0.013695000000000013	0.009994999999999976	-0.009094999999999853	-0.0025850000000000595	-0.016405000000000003	-0.00708500000000023	0.013554999999999984	-0.008480000000000043	-0.01831499999999997	-0.013334999999999986	-0.012944999999999984	-0.011355000000000115	-0.011295000000000055	-0.02784500000000012	0.020014999999999894	0.005940000000000056
