ORF	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YBL010C	-0.008	-0.007	-0.007	-0.008	-0.011	-0.016	-0.008	-0.010	0.037	-0.013	-0.028	-0.004	-0.011	-0.006	-0.026	-0.009
YBL011W	-0.002	-0.009	0.001	-0.026	-0.005	-0.010	-0.006	-0.008	0.003	0.004	-0.074	-0.382	-0.412	-0.358	-0.350	-0.374
YBL012C	0.001	0.009	-0.010	-0.027	-0.012	-0.003	-0.006	-0.017	0.010	0.009	-0.014	0.003	-0.017	0.005	-0.019	-0.003
YBL013W	-0.006	0.012	0.007	-0.068	-0.084	-0.134	-0.123	-0.092	-0.002	-0.000	-0.032	-0.008	-0.055	-0.032	-0.064	0.026
YBL014C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.064	-0.084	-0.053	-0.096	-0.034	-0.198	-0.153	-0.079
YBL015W	-0.008	0.008	0.022	0.034	0.010	-0.012	-0.001	0.035	0.003	0.009	0.005	0.046	-0.003	-0.006	-0.015	0.060
YBL016W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.007	-0.018	0.002	0.015	-0.013	-0.021	-0.022	-0.003
YBL017C	0.001	0.003	0.029	0.024	0.009	-0.006	-0.002	0.011	0.007	-0.004	0.009	0.021	-0.027	0.015	-0.015	0.018
YBL018C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.006	-0.017	0.023	0.033	-0.008	-0.009	-0.023	0.025
YBL019W	0.011	0.000	-0.070	-0.180	-0.068	-0.134	-0.167	-0.106	-0.001	-0.025	0.003	-0.009	-0.010	-0.016	-0.016	-0.019
YBL020W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.005	-0.022	0.007	0.015	-0.018	-0.021	-0.040	0.010
YBL021C	0.027	0.015	-0.028	-0.328	-0.307	-0.425	-0.464	-0.272	-0.165	-0.163	-0.070	-0.206	-0.244	-0.477	-0.410	-0.191
YBL022C	0.001	-0.028	-0.001	0.039	0.084	0.053	0.054	0.094	0.050	-0.021	-0.047	-0.074	-0.069	-0.284	-0.293	-0.096
YBL023C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.015	-0.045	0.046	0.102	0.016	-0.022	-0.050	0.103
YBL024W	-0.003	-0.006	0.026	0.062	0.047	0.013	0.020	0.072	-0.038	-0.019	0.043	0.072	-0.013	-0.032	-0.051	0.054
YBL025W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.026	-0.002	0.004	-0.005	0.007	0.003	-0.003	0.005
YBL026W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.032	-0.026	-0.004	-0.016	-0.033	-0.038	-0.047	0.002
YBL027W	-0.004	-0.017	-0.009	0.028	0.010	0.014	-0.009	0.055	-0.004	-0.015	0.003	0.104	0.067	0.056	0.020	0.109
YBL028C	-0.003	0.008	0.032	0.057	0.026	0.013	0.024	0.041	-0.028	0.005	0.035	0.121	0.001	-0.011	-0.049	0.107
YBL029W	0.003	-0.004	0.007	0.017	0.011	-0.000	0.002	0.006	-0.008	-0.002	0.048	0.086	-0.005	-0.006	-0.017	0.073
YBL030C	0.021	0.023	0.018	0.020	0.027	0.042	0.023	0.019	-0.034	-0.030	0.031	0.053	0.004	0.019	-0.014	0.048
YBL031W	0.010	-0.014	0.025	0.047	0.062	0.052	0.056	0.069	0.014	0.011	-0.002	-0.027	-0.017	-0.006	0.006	-0.029
YBL032W	0.005	-0.027	-0.010	0.006	0.030	0.016	0.027	0.007	0.014	-0.024	-0.051	-0.083	-0.022	-0.009	-0.044	-0.068
YBL033C	-0.070	-0.052	-0.021	-0.106	-0.080	-0.063	-0.097	-0.079	0.030	0.002	-0.014	-0.063	-0.006	0.001	-0.032	-0.061
YBL034C	0.021	0.006	0.023	0.036	0.045	0.023	0.025	0.024	0.007	-0.021	-0.018	-0.027	-0.028	-0.015	-0.035	-0.036
YBL035C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.006	-0.015	0.011	0.008	-0.014	-0.017	-0.025	-0.000
YBL036C	0.001	0.004	0.023	0.046	0.024	0.011	0.014	0.032	-0.009	-0.015	-0.003	0.038	-0.007	-0.019	-0.031	0.020
YBL037W	0.001	-0.017	0.011	0.029	-0.004	-0.006	0.005	0.011	0.003	-0.013	0.024	0.054	-0.019	-0.013	-0.037	0.039
YBL038W	0.001	-0.053	-0.120	-0.374	-0.292	-0.399	-0.548	-0.273	0.021	-0.002	-0.002	-0.003	-0.013	-0.016	-0.021	0.004
YBL039C	-0.020	-0.004	0.075	0.090	0.040	0.039	0.037	0.032	0.012	-0.007	-0.003	0.005	-0.006	-0.010	-0.022	-0.009
YBL040C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.005	-0.018	0.007	0.009	-0.011	-0.023	-0.028	0.003
YBL041W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.012	-0.028	0.012	0.019	-0.017	-0.021	-0.044	0.028
YBL042C	0.025	-0.011	-0.046	-0.116	-0.057	-0.046	-0.041	0.005	0.008	-0.007	-0.007	-0.004	-0.005	-0.014	-0.022	-0.009
YBL043W	0.012	0.010	0.010	0.016	0.007	0.011	0.014	0.004	0.027	-0.008	0.011	0.002	0.002	0.009	-0.044	-0.003
YBL044W	-0.001	0.005	0.021	0.034	0.017	0.006	0.011	0.026	-0.018	-0.027	0.014	0.084	0.027	0.011	-0.028	0.093
YBL045C	0.060	-0.020	-0.051	-0.349	-0.319	-0.407	-0.499	-0.286	0.002	-0.003	-0.002	-0.022	-0.018	-0.026	-0.027	-0.017
YBL046W	0.001	-0.010	0.023	0.055	0.063	0.072	0.064	0.073	-0.004	-0.019	0.031	0.091	0.085	0.104	0.080	0.112
YBL047C	0.027	0.022	0.033	0.052	0.006	0.004	0.001	0.030	0.010	-0.093	-0.114	-0.240	-0.145	-0.386	-0.314	-0.252
YBL048W	-0.004	-0.001	0.034	0.061	0.033	0.015	0.012	0.045	-0.027	-0.021	0.047	0.081	-0.010	-0.002	-0.022	0.085
YBL049W	0.008	0.000	0.015	0.015	0.015	0.009	0.006	0.012	-0.008	-0.009	0.007	0.006	-0.016	-0.014	-0.012	0.014
YBL050W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.005	-0.007	0.013	0.042	-0.019	-0.012	-0.057	0.058
YBL051C	0.017	0.009	0.016	-0.058	0.023	-0.006	-0.015	-0.026	0.000	-0.009	-0.013	-0.028	-0.026	-0.027	-0.062	-0.029
YBL052C	0.007	0.003	0.036	0.023	0.005	-0.008	0.008	0.017	-0.002	-0.023	0.036	0.033	-0.020	-0.038	-0.040	0.031
YBL053W	0.011	-0.002	0.009	-0.001	0.000	0.009	0.011	-0.004	0.040	-0.003	-0.022	-0.035	-0.012	0.006	-0.007	-0.046
YBL054W	0.003	-0.003	0.014	0.014	0.028	0.002	0.016	0.014	0.034	0.010	-0.017	-0.025	-0.011	0.001	-0.004	-0.030
YBL055C	0.000	-0.013	-0.004	-0.046	-0.022	-0.029	-0.029	-0.024	0.016	-0.018	-0.010	-0.015	-0.004	-0.013	-0.025	-0.023
YBL056W	0.003	-0.014	0.004	0.005	0.006	0.010	0.008	-0.007	0.031	-0.016	-0.002	-0.043	-0.003	-0.001	-0.013	-0.043
YBL057C	0.008	-0.010	0.003	0.006	0.012	0.016	0.019	0.002	-0.011	-0.026	-0.005	-0.000	-0.014	-0.008	-0.027	-0.007
YBL058W	-0.012	0.002	0.010	0.057	0.265	0.178	0.174	0.261	-0.030	0.003	0.022	0.100	0.008	0.024	0.010	0.068
YBL059W	-0.008	-0.014	-0.011	-0.023	-0.085	-0.270	-0.270	-0.262	0.005	-0.023	0.017	0.009	-0.006	-0.018	-0.032	0.009
YBL060W	0.014	-0.016	0.019	0.034	0.018	0.005	0.030	0.006	0.023	-0.020	-0.013	0.012	-0.010	-0.006	-0.023	-0.019
YBL061C	0.004	-0.002	0.007	-0.010	0.011	0.004	0.007	0.002	-0.000	-0.011	-0.002	-0.015	-0.011	-0.013	-0.019	-0.018
YBL062W	0.015	-0.016	0.014	0.001	0.013	-0.007	0.027	-0.005	-0.014	-0.024	0.023	0.040	0.026	0.036	-0.006	0.057
YBL063W	0.011	0.009	0.028	0.062	0.021	0.020	0.024	0.039	0.011	-0.020	0.045	0.050	0.009	-0.007	-0.025	0.042
YBL064C	0.002	-0.009	0.004	-0.010	-0.000	-0.000	0.003	-0.015	0.001	-0.020	-0.012	-0.044	-0.021	-0.022	-0.033	-0.039
YBL065W	0.006	-0.002	-0.005	-0.026	-0.029	-0.018	-0.025	-0.026	0.020	0.002	-0.007	-0.033	-0.014	-0.006	-0.011	-0.011
YBL066C	0.010	-0.011	0.001	-0.015	-0.005	-0.015	-0.016	-0.012	-0.004	-0.026	-0.003	-0.034	-0.037	-0.046	-0.072	-0.027
YBL067C	-0.002	-0.022	0.005	0.011	-0.030	-0.014	-0.009	0.003	0.028	-0.004	0.025	0.022	0.014	-0.003	-0.056	0.031
YBL068W	0.012	0.006	0.017	0.039	0.020	0.020	0.017	0.031	-0.012	-0.008	0.008	0.025	-0.000	-0.017	-0.010	0.031
YBL069W	0.001	0.000	0.020	0.038	0.011	0.006	0.009	0.022	-0.061	-0.105	-0.105	-0.282	-0.185	-0.287	-0.465	-0.210
YBL070C	0.001	-0.005	0.018	0.019	0.011	-0.001	0.003	0.014	-0.006	-0.022	0.025	-0.004	-0.004	-0.035	-0.036	0.037
YBL071C	0.024	0.026	0.036	0.048	0.023	0.042	0.037	0.030	0.015	-0.012	0.006	-0.018	-0.033	-0.039	-0.043	0.003
YBL072C	-0.016	-0.016	0.013	0.088	0.076	0.062	0.031	0.082	-0.015	-0.009	0.012	0.009	0.007	0.025	0.003	0.031
YBL073W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.005	-0.002	-0.019	-0.018	-0.013	-0.001	-0.030	-0.003
YBL074C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.008	-0.026	-0.037	-0.087	-0.027	-0.027	-0.042	-0.055
YBL075C	-0.017	0.008	0.016	0.038	0.007	0.010	0.012	0.020	0.061	0.070	NaN	NaN	-0.033	-0.153	-0.090	NaN
YBL076C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.025	-0.000	-0.019	-0.076	-0.013	0.006	-0.010	-0.058
YBL077W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.021	-0.022	-0.007	-0.009	-0.007	-0.001	-0.028	-0.020
YBL078C	-0.005	-0.004	0.007	0.001	-0.011	-0.001	-0.001	-0.008	0.012	-0.013	-0.001	0.005	-0.016	0.002	-0.011	-0.005
YBL079W	0.008	-0.007	0.030	0.050	0.050	0.027	0.016	0.074	0.018	-0.021	-0.031	-0.045	-0.025	-0.016	-0.018	-0.040
YBL080C	0.044	-0.019	-0.097	-0.325	-0.320	-0.295	-0.343	-0.309	-0.002	-0.005	0.009	0.063	0.020	0.030	0.021	0.070
YBL081W	-0.000	0.024	0.002	0.041	0.022	0.031	0.031	0.027	-0.024	0.006	0.007	0.005	-0.009	-0.020	-0.016	0.005
YBL082C	0.004	-0.006	0.004	0.006	-0.016	-0.007	-0.007	-0.006	0.005	-0.001	-0.021	-0.037	-0.011	-0.034	-0.021	-0.033
YBL083C	0.006	-0.005	-0.004	0.000	0.003	0.022	0.026	0.017	0.048	-0.018	-0.030	0.002	-0.017	0.032	-0.041	-0.052
YBL084C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.018	-0.002	0.021	0.078	0.014	0.019	0.025	0.069
YBL085W	-0.011	0.009	0.015	0.038	0.012	0.007	0.008	0.023	0.009	0.007	-0.004	0.014	-0.015	0.004	-0.005	0.032
YBL086C	-0.006	0.002	0.017	0.037	0.008	0.003	0.003	0.019	-0.005	-0.011	-0.018	-0.056	-0.122	-0.071	-0.131	-0.009
YBL087C	0.010	0.026	0.045	0.158	0.128	0.111	0.124	0.127	-0.014	0.015	-0.114	-0.274	-0.255	-0.496	-0.510	-0.256
YBL088C	-0.005	-0.006	0.007	0.020	0.015	0.002	0.010	0.012	-0.035	0.022	0.028	0.066	0.010	0.037	-0.016	0.087
YBL089W	-0.003	-0.009	-0.035	-0.097	-0.068	-0.137	-0.163	-0.130	-0.003	-0.009	-0.004	0.009	-0.016	-0.023	-0.018	0.007
YBL090W	-0.019	-0.059	-0.123	-0.318	-0.278	-0.457	-0.457	-0.262	-0.028	0.004	0.015	0.025	-0.020	-0.035	-0.036	0.053
YBL091C	-0.003	-0.012	0.002	-0.001	0.001	0.011	0.017	-0.005	0.021	-0.006	-0.041	-0.013	0.035	0.015	-0.012	0.034
YBL091C-A	0.011	-0.005	0.005	0.013	0.016	0.005	0.018	0.017	0.014	-0.020	0.028	0.036	-0.002	-0.008	-0.028	0.037
YBL092W	0.005	0.023	0.009	0.048	-0.001	0.042	0.039	0.015	-0.005	-0.001	0.004	0.001	-0.017	-0.009	-0.045	0.039
YBL093C	-0.137	0.050	-0.105	-0.035	0.023	0.036	0.054	-0.168	-0.007	-0.025	-0.011	-0.079	-0.063	-0.145	-0.115	-0.047
YBL094C	-0.006	-0.002	0.012	0.020	0.002	-0.004	-0.007	0.011	-0.006	-0.004	0.011	0.039	-0.004	0.002	-0.015	0.037
YBL095W	-0.005	-0.004	0.002	0.003	-0.026	-0.022	-0.018	-0.008	-0.002	-0.017	0.007	-0.008	-0.017	-0.007	-0.016	-0.011
YBL096C	0.007	0.004	-0.000	-0.011	-0.018	-0.018	-0.008	-0.016	0.004	-0.006	0.012	0.001	-0.021	-0.016	-0.023	-0.017
YBL097W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.007	-0.009	0.015	0.051	-0.015	-0.014	-0.019	0.037
YBL098W	-0.004	-0.016	-0.001	-0.001	-0.006	-0.003	-0.007	-0.003	-0.001	-0.010	-0.002	0.033	-0.014	0.001	-0.016	0.015
YBL099W	-0.012	-0.019	-0.098	-0.418	-0.348	-0.481	-0.491	-0.365	0.020	-0.006	-0.005	-0.039	-0.004	0.013	-0.001	-0.030
YBL100C	0.018	0.013	-0.058	-0.339	-0.311	-0.443	-0.509	-0.313	-0.010	-0.009	0.022	0.069	0.016	0.041	0.016	0.078
YBL101C	0.001	0.006	0.030	0.075	0.035	0.035	0.040	0.051	0.029	-0.002	-0.022	0.017	0.003	0.009	-0.019	0.005
YBL102W	0.008	0.003	0.009	0.010	0.002	0.008	0.009	0.001	0.007	0.012	-0.007	-0.018	-0.012	0.020	0.017	-0.009
YBL103C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.012	-0.009	0.025	0.101	0.027	0.038	0.013	0.045
YBL104C	0.002	-0.012	0.010	0.019	0.034	0.029	0.036	0.023	-0.011	-0.012	-0.003	-0.008	-0.013	-0.014	-0.010	-0.007
YBL105C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.046	-0.028	0.001	0.020	-0.021	-0.017	-0.020	0.037
YBL106C	0.003	0.000	0.009	0.010	-0.011	0.026	0.017	-0.005	-0.019	-0.028	0.023	0.036	-0.016	-0.021	-0.024	0.030
YBL107C	0.006	-0.006	0.008	-0.015	0.003	0.010	0.015	-0.012	0.018	-0.007	-0.005	-0.041	-0.009	-0.009	0.002	-0.033
YBR001C	0.004	-0.011	0.003	-0.000	-0.002	0.002	-0.000	-0.002	-0.014	-0.012	-0.001	-0.011	-0.016	-0.024	-0.007	-0.010
YBR002C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.003	-0.029	-0.006	-0.027	-0.028	-0.038	-0.031	-0.015
YBR003W	-0.013	-0.070	-0.115	-0.499	-0.467	-0.579	-0.717	-0.372	0.004	-0.001	-0.006	-0.056	-0.009	-0.009	-0.001	-0.037
YBR004C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.009	-0.012	-0.005	-0.056	0.002	-0.011	0.007	-0.056
YBR005W	0.003	-0.013	-0.011	-0.017	-0.010	0.002	0.007	-0.017	-0.011	-0.020	-0.008	0.016	-0.022	-0.003	-0.014	0.015
YBR006W	0.014	-0.000	-0.007	-0.019	-0.009	-0.002	-0.012	-0.016	-0.014	-0.011	0.009	0.012	-0.010	-0.009	-0.004	0.025
YBR007C	0.001	-0.001	0.005	0.009	-0.002	-0.007	0.001	0.002	-0.002	-0.016	-0.006	0.001	-0.019	-0.017	-0.019	-0.002
YBR008C	0.001	-0.007	-0.008	-0.008	-0.004	-0.003	0.005	-0.008	-0.002	-0.012	-0.014	-0.017	-0.011	-0.019	-0.022	-0.014
YBR009C	0.004	0.007	0.035	0.085	0.070	0.045	0.059	0.080	-0.009	-0.004	0.016	0.061	-0.012	-0.002	-0.025	0.054
YBR010W	0.019	0.010	0.024	0.038	0.015	0.011	0.015	0.047	-0.009	0.005	-0.012	0.033	-0.014	0.003	-0.011	0.006
YBR011C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007	-0.014	-0.008	-0.010	-0.012	-0.001	-0.026	-0.001
YBR012C	0.005	0.004	0.016	0.044	0.009	0.007	0.006	0.028	-0.028	-0.008	0.017	0.067	-0.006	0.015	-0.023	0.067
YBR013C	-0.007	-0.025	-0.005	-0.008	-0.000	-0.009	0.002	-0.006	-0.011	-0.015	0.008	0.021	-0.009	-0.018	-0.017	0.029
YBR014C	0.015	0.011	0.017	0.040	0.020	0.026	0.036	0.033	-0.014	-0.026	0.029	-0.026	0.015	0.007	0.011	0.017
YBR015C	0.017	0.010	0.018	0.034	0.007	0.043	0.047	0.019	-0.015	-0.010	-0.004	0.025	-0.012	-0.002	-0.008	0.033
YBR016W	0.007	-0.006	-0.000	-0.004	0.009	0.017	0.012	-0.007	-0.007	-0.073	0.038	-0.004	0.032	0.015	-0.017	0.025
YBR017C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.005	-0.015	0.003	0.016	-0.005	0.004	-0.016	0.043
YBR018C	-0.001	-0.021	-0.008	-0.005	-0.010	-0.004	0.008	-0.007	-0.010	-0.008	-0.008	-0.041	-0.016	-0.017	-0.030	-0.015
YBR019C	0.006	-0.004	-0.005	-0.019	-0.007	0.001	0.005	-0.019	0.027	-0.011	-0.015	-0.112	-0.015	0.003	-0.034	-0.039
YBR020W	-0.005	-0.012	-0.020	-0.008	-0.003	0.012	0.010	-0.000	0.015	-0.015	-0.033	-0.033	0.001	0.003	-0.007	0.002
YBR021W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.008	-0.006	-0.025	-0.039	-0.006	-0.012	0.004	-0.030
YBR022W	0.007	-0.008	-0.005	-0.006	0.003	0.010	0.013	-0.010	0.001	0.019	-0.008	-0.035	-0.007	-0.002	0.015	-0.029
YBR023C	0.013	-0.011	-0.004	-0.014	0.003	0.012	0.018	0.005	-0.028	0.016	0.020	0.068	-0.005	0.020	-0.003	0.080
YBR024W	-0.010	-0.005	-0.010	-0.024	-0.027	-0.022	-0.018	-0.024	-0.013	0.001	0.013	0.056	-0.007	-0.002	-0.008	0.048
YBR025C	-0.004	-0.016	0.005	0.070	0.050	0.028	0.033	0.063	0.005	0.001	0.006	-0.000	-0.002	-0.009	-0.008	0.009
YBR026C	-0.042	-0.041	-0.023	-0.300	-0.252	-0.419	-0.434	-0.302	-0.007	0.000	0.001	0.009	0.004	-0.003	-0.008	0.009
YBR027C	0.001	-0.013	0.012	0.015	0.043	0.039	0.034	0.041	0.005	-0.029	0.010	0.004	0.001	0.014	-0.016	0.010
YBR028C	0.001	-0.021	0.015	0.020	0.014	0.022	0.022	0.015	-0.001	-0.023	0.009	0.026	-0.012	-0.021	-0.045	0.032
YBR029C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.021	0.016	0.045	-0.010	-0.000	-0.030	0.044
YBR030W	0.000	-0.004	-0.008	-0.011	-0.014	0.010	0.012	-0.014	-0.004	-0.010	-0.008	-0.048	-0.016	-0.011	-0.016	-0.028
YBR031W	0.005	0.016	0.024	0.078	0.074	0.120	0.113	0.081	0.024	-0.007	-0.016	-0.076	-0.008	-0.005	-0.010	-0.068
YBR032W	-0.006	-0.032	-0.021	-0.030	-0.013	-0.000	-0.001	-0.021	-0.004	0.009	-0.006	-0.026	-0.011	0.001	0.020	-0.012
YBR033W	-0.006	-0.003	0.002	0.011	-0.002	0.008	0.010	0.001	-0.009	0.004	0.022	0.056	-0.000	-0.000	-0.001	0.064
YBR034C	-0.007	-0.024	0.005	0.031	0.017	0.034	0.024	0.029	-0.010	0.002	0.011	0.005	-0.009	-0.009	-0.009	0.019
YBR035C	-0.025	-0.048	-0.015	-0.308	-0.121	-0.290	-0.479	-0.254	-0.014	-0.013	0.023	0.023	-0.002	-0.009	-0.006	0.038
YBR036C	-0.016	-0.015	-0.009	-0.034	-0.038	-0.032	-0.024	-0.017	-0.009	-0.019	0.020	0.034	0.008	0.012	-0.017	0.042
YBR037C	-0.003	-0.048	-0.073	-0.352	-0.342	-0.412	-0.463	-0.319	0.033	0.011	-0.024	-0.084	-0.016	-0.006	0.007	-0.056
YBR038W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.004	-0.015	0.021	0.076	0.024	0.053	0.020	0.067
YBR039W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.015	-0.004	-0.009	-0.012	-0.032	-0.007	-0.067	0.027
YBR040W	-0.012	-0.024	-0.018	-0.018	-0.014	-0.017	-0.008	-0.016	0.011	-0.011	-0.006	-0.026	-0.029	-0.009	-0.024	-0.008
YBR041W	0.004	-0.018	-0.013	-0.022	-0.021	-0.007	0.004	-0.010	-0.028	-0.012	0.021	0.052	0.006	0.034	-0.003	0.057
YBR042C	-0.005	-0.019	-0.015	-0.003	-0.007	0.001	-0.004	-0.016	0.007	0.019	-0.007	-0.019	0.004	0.016	0.004	-0.011
YBR043C	-0.011	-0.016	-0.009	-0.018	-0.008	-0.009	-0.006	-0.015	-0.006	0.004	0.008	-0.011	-0.014	-0.009	0.004	-0.001
YBR044C	-0.011	-0.027	-0.029	-0.179	-0.256	-0.291	-0.278	-0.333	0.022	0.015	-0.010	-0.018	0.007	0.005	0.021	-0.020
YBR045C	0.002	-0.009	-0.018	-0.018	-0.009	0.005	0.009	-0.010	0.020	-0.009	0.005	-0.003	-0.004	0.008	-0.011	0.001
YBR046C	-0.001	-0.021	-0.015	0.020	-0.001	0.000	-0.003	0.009	0.015	0.018	-0.011	0.001	-0.012	-0.006	0.007	0.011
YBR047W	-0.006	-0.018	-0.013	0.003	-0.007	-0.003	0.002	0.004	-0.016	0.003	0.025	0.052	0.001	0.025	-0.007	0.029
YBR048W	0.024	-0.009	0.042	0.128	0.118	0.130	0.094	0.135	0.008	0.005	0.001	0.020	0.014	0.021	0.024	0.022
YBR049C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.001	0.024	0.026	0.063	0.021	0.046	0.029	0.094
YBR050C	0.000	0.012	-0.012	0.009	0.016	0.012	0.007	0.013	0.028	-0.001	-0.032	-0.070	-0.003	0.003	-0.003	-0.046
YBR051W	-0.011	-0.013	-0.028	0.001	0.006	0.007	0.004	-0.004	0.012	0.014	0.005	-0.011	0.008	0.026	0.035	0.003
YBR052C	0.000	-0.008	-0.015	-0.007	-0.009	0.002	0.002	-0.004	0.021	-0.002	-0.036	-0.048	0.005	0.015	0.019	-0.053
YBR053C	-0.009	0.005	0.005	0.016	0.005	0.015	0.016	0.014	0.027	0.028	-0.023	-0.069	-0.006	0.011	0.032	-0.045
YBR054W	-0.009	-0.016	-0.007	0.017	0.009	0.005	0.002	0.014	-0.009	0.027	0.006	0.057	0.012	0.042	0.028	0.022
YBR055C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002	0.029	0.004	0.012	0.004	0.026	0.032	0.019
YBR056W	0.000	0.003	-0.003	-0.015	-0.012	0.020	0.028	-0.015	0.006	0.023	0.001	0.009	0.002	0.009	0.013	0.008
YBR057C	-0.011	0.004	0.008	0.051	0.027	0.029	0.025	0.048	0.016	0.012	0.004	0.024	0.000	0.027	-0.004	0.039
YBR058C	-0.022	-0.030	-0.029	-0.047	-0.036	-0.012	-0.014	0.011	0.028	0.001	-0.011	-0.048	0.006	-0.004	0.001	-0.027
YBR059C	-0.014	-0.023	0.003	0.059	0.064	0.054	0.055	0.051	0.014	-0.024	0.007	0.008	0.022	0.011	-0.023	-0.006
YBR060C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.022	0.033	-0.008	0.046	0.028	0.064	0.023	0.071
YBR061C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010	0.005	-0.003	0.023	-0.008	-0.002	0.004	0.018
YBR062C	-0.016	-0.035	-0.000	-0.004	0.000	-0.004	-0.002	-0.005	0.006	-0.005	0.003	0.021	-0.011	0.007	-0.015	0.021
YBR063C	-0.012	-0.004	0.006	0.043	0.028	0.016	0.013	0.039	0.002	0.003	0.018	0.040	-0.003	0.007	0.007	0.038
YBR064W	-0.020	-0.010	0.002	0.023	0.008	0.015	0.007	0.014	-0.004	0.017	0.018	0.060	-0.006	0.001	0.000	0.041
YBR065C	-0.000	-0.023	-0.012	-0.023	-0.017	-0.008	-0.006	-0.018	0.017	0.006	-0.014	-0.023	-0.014	-0.009	0.003	-0.047
YBR066C	-0.009	-0.010	-0.002	0.016	0.020	0.018	0.015	0.010	0.001	-0.011	0.007	0.007	-0.000	-0.004	0.007	-0.011
YBR067C	-0.005	-0.020	0.008	0.023	0.019	0.007	0.013	0.017	-0.007	-0.021	0.011	0.031	-0.004	-0.009	-0.021	0.019
