orf	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020
YBL053W	0.05839	-0.06362	0.0286	-0.018605	0.0014949999999999998	-0.014114999999999999	1.1061502711974864	1.15	1.1
YBL054W	0.04635	0.071735	0.06756000000000001	0.055215	0.03628	0.07919	1.1330751314299712	1.2	1.4
YBL055C	0.040005	0.02009	0.018154999999999998	0.030660000000000003	-0.010055	-0.02641	1.0739136095165964	1.2	1.2000000000000002
YBL056W	0.017465	0.0037600000000000003	0.04367	0.025750000000000002	-0.0006049999999999996	0.02375	1.1950425018284072	1.2000000000000002	1.25
YBL057C	-0.16188999999999998	-0.016104999999999998	-0.00039999999999999975	-0.019595	-0.03213	-0.03066	1.2621698533728893	1.75	1.2
YBL059W	0.012975	0.011385	0.07269500000000001	0.056315000000000004	0.026085	0.015035	0.9812585290924224	0.8500000000000001	1.0
YBL060W	0.00398	0.015530000000000002	0.00044500000000000095	-0.031090000000000003	0.00923	0.041385000000000005	1.0333024140943547	0.95	1.0
YBL061C	0.071605	0.012175	-0.018529999999999998	-0.01539	-0.026514999999999997	0.029335	0.9731428067756933	1.2000000000000002	1.05
YBL062W	-0.015010000000000003	0.017625000000000002	-0.026695000000000003	0.038665	0.032760000000000004	0.040334999999999996	1.0528707505352068	1.0	1.0
YBL063W	-0.042435	-0.083555	-0.08008	-0.02568	-0.08657999999999999	-0.019479999999999997	1.0263588045207328	1.3	0.95
YBL064C	0.03678	-0.03494	0.01787	-0.012465	0.029705000000000002	-0.02421	1.0817479914622425	1.25	1.05
YBL065W	-0.048190000000000004	-0.017945	0.002019999999999994	0.045345	-0.05135000000000001	-0.058795	1.2221558964863353	0.95	1.15
YBL066C	-0.013695	-0.078725	-0.021285000000000002	-0.04344	-0.019750000000000004	-0.121175	1.0839595444296002	0.95	0.95
YBL067C	-0.076855	-0.01105	0.02584	0.08107	0.015475000000000001	0.070085	1.2231403566505734	1.2	1.4
YBL068W	-0.0384	-0.008154999999999999	0.025875	-0.007925	-0.022995	0.009470000000000001	1.1106775639313007	1.3	1.25
YBL069W	0.05012	0.018715	0.005615	0.00666	0.03862	-0.016625	1.2008924426332577	1.25	1.25
YBL070C	0.15009	0.06190999999999999	0.094385	0.03615	0.10408	0.0020349999999999986	1.1786836586001788	1.25	1.2999999999999998
YBL071C	-0.112155	0.10436	-0.034765000000000004	0.09037	-0.13022	0.047604999999999995	0.9674983336215935	1.15	1.1
YBL072C	-0.00035500000000000115	-0.10028999999999999	0.019244999999999998	0.02778	-0.03533	0.02636	0.5374063536402187	0.45	0.55
YBL075C	-0.10024	-0.026924999999999998	-0.025729999999999996	0.028045	0.0034849999999999985	0.12276	0.9772060452411164	1.05	1.0
YBL078C	-0.129465	-0.156635	-0.10391	0.005760000000000001	-0.035265	0.04826999999999999	0.9598539492054687	1.05	0.95
YBL079W	-0.005904999999999997	-0.019499999999999997	-0.014955	0.097415	-0.17592999999999998	-0.284445	0.7193880515265763	0.35	0.7
YBL081W	0.036965	-0.0014	0.08122499999999999	-0.03017	-0.02544	-0.1021	1.0652771325448718	0.8500000000000001	1.0
YBL082C	-0.019725	-0.044454999999999995	0.03537	0.036785	0.05465	0.087925	1.1437805353877248	1.15	1.15
YBL083C	-0.05913499999999999	-0.122285	0.009059999999999999	-0.015065000000000002	0.04252499999999999	0.00961	1.0621376033755943	1.25	1.15
YBL085W	0.07841	0.06473	0.020185	0.08355	-0.0233	0.009185000000000002	1.2997729417122001	1.75	1.85
YBL086C	-0.04736	-0.03362	-0.04201	0.036635	0.02808	0.03146	1.1393656364872635	1.25	1.1
YBL087C	-0.105495	-0.14393999999999998	-0.04015	-0.07792	-0.08201	-0.13018000000000002	0.8679195202716279	0.8500000000000001	0.8500000000000001
YBL088C	0.044445000000000005	0.15602	0.04965	0.09629	0.08988499999999999	0.08652499999999999	1.126102434831647	1.45	1.3
