orf	hap a | biofilm formation | standard | YPD | Vandenbosch D~Coenye T, 2013	hap a | biofilm formation | miconazole [1 mg/ml] | YPD | Vandenbosch D~Coenye T, 2013
YDL115C	0.87	0.94
YDL116W	0.78	1.21
YDL117W	1.1	0.76
YDL118W	0.85	0.9
YDL119C	0.85	0.81
YDL121C	0.85	1.21
YDL122W	0.85	1.05
YDL123W	0.93	1.24
YDL124W	0.91	1.01
YDL125C	0.96	1.13
YDL127W	0.83	1.01
YDL128W	0.91	1.22
YDL129W	0.89	1.18
YDL130W	0.91	1.09
YDL130W-A	1.01	0.88
YDL131W	0.99	0.94
YDL133C-A	1.1	1.1
YDL133W	1.09	1.09
YDL134C	0.97	1.23
YDL135C	1.0	1.01
YDL136W	0.86	0.9
YDL137W	0.9	0.92
YDL138W	0.86	1.11
YDL142C	0.96	1.21
YDL144C	0.88	1.26
YDL146W	0.63	0.86
YDL149W	0.97	1.06
YDL151C	0.76	0.83
YDL154W	1.0	1.17
YDL155W	0.93	1.17
YDL156W	0.96	1.17
YDL157C	0.9	1.17
YDL159W	0.87	1.01
YDL159W-A	1.05	1.17
YDL160C	0.78	1.2
YDL160C-A	0.69	1.08
YDL161W	0.99	1.17
YDL162C	1.09	0.96
YDL167C	0.95	1.21
YDL168W	0.96	1.05
YDL169C	1.06	0.95
YDL170W	1.07	0.87
YDL171C	1.13	0.99
YDL172C	1.06	0.88
YDL173W	0.91	1.1
YDL174C	0.99	0.84
YDL175C	1.19	1.02
YDL176W	1.07	0.89
YDL177C	0.98	0.85
YDL178W	1.07	0.8
YDL179W	0.94	1.1
YDL180W	0.87	0.98
YDL181W	0.94	1.2
YDL182W	0.27	1.5
YDL183C	0.91	0.93
YDL184C	0.84	1.04
YDL185W	0.98	1.22
YDL186W	0.94	0.99
YDL187C	0.97	0.88
YDL188C	1.04	0.97
YDL189W	0.81	1.11
YDL190C	0.94	1.44
YDL191W	0.77	1.13
YDL192W	1.21	0.91
YDL194W	1.02	1.08
YDL197C	1.58	0.76
YDL198C	1.09	0.96
YDL199C	0.86	1.43
YDL200C	0.95	1.36
YDL201W	0.99	1.13
YDL202W	1.03	0.89
YDL203C	1.06	1.03
YDL204W	0.88	1.26
YDL206W	1.09	0.97
YDL210W	1.14	1.09
YDL211C	1.16	0.9
YDL213C	1.18	0.98
YDL214C	0.86	1.17
YDL215C	0.96	1.04
YDL216C	1.03	0.93
YDL218W	0.97	1.03
YDL219W	0.95	1.02
YDL222C	1.32	0.87
YDL223C	0.88	0.91
YDL224C	0.99	0.89
YDL225W	0.93	0.97
YDL226C	0.98	0.96
YDL227C	0.85	1.03
YDL229W	0.83	1.09
YDL230W	0.91	1.11
YDL231C	0.99	0.93
YDL232W	1.29	0.9
YDL233W	0.95	1.15
YDL234C	0.95	1.09
YDL236W	0.95	1.1
YDL237W	1.01	1.1
YDL238C	0.86	0.88
YDL239C	0.9	1.06
YDL240W	1.08	1.22
YDL241W	0.84	1.04
YDL242W	0.86	0.97
YDL243C	1.09	0.83
YDR001C	0.88	1.13
YDR003W	0.81	1.1
YDR003W-A	1.03	0.51
YDR004W	0.8	1.08
YDR005C	0.77	1.13
YDR006C	0.82	1.07
YDR007W	1.01	1.22
YDR008C	0.74	1.18
YDR009W	0.85	1.05
YDR010C	0.96	0.98
YDR011W	1.38	1.2
YDR014W	0.98	0.99
YDR015C	0.86	1.02
YDR017C	0.9	1.07
YDR018C	0.88	1.11
YDR019C	0.91	1.07
YDR020C	0.91	1.27
YDR022C	0.93	0.85
YDR024W	0.86	1.03
YDR025W	0.83	0.96
YDR026C	0.84	0.94
YDR027C	0.88	0.82
YDR028C	0.89	1.05
YDR029W	0.92	0.93
YDR030C	0.82	1.21
YDR031W	0.88	0.97
YDR032C	0.7	1.33
YDR033W	0.83	1.1
YDR034C	0.91	1.01
YDR034W-B	0.98	1.07
YDR035W	0.96	0.99
YDR036C	0.96	1.05
YDR042C	0.97	1.01
YDR043C	0.9	1.28
YDR046C	0.93	0.94
YDR048C	0.98	0.96
YDR049W	0.86	1.13
YDR050C	0.95	1.36
YDR051C	0.98	1.25
YDR055W	0.99	1.02
YDR056C	0.99	1.13
YDR057W	0.73	1.42
YDR058C	1.27	0.88
YDR059C	0.99	1.18
YDR061W	0.89	1.19
YDR063W	0.85	1.24
YDR065W	1.1	0.96
YDR066C	0.94	1.13
YDR067C	1.12	0.93
YDR068W	0.92	1.14
YDR069C	1.03	0.82
YDR070C	0.93	0.85
YDR071C	0.93	0.93
YDR072C	0.95	1.29
YDR073W	0.83	1.07
YDR074W	0.46	0.73
YDR075W	0.9	1.07
YDR076W	1.14	1.05
