orf	het | growth (pooled culture, microarray) | risedronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | alendronate [5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | ibandronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009
YML126C		-0.11180586081597786	
YML127W		-0.2183640363869575	-0.3718045412783967
YMR001C		-0.06025918034133344	-0.078117255874103
YMR002W		-2.0	-2.0
YMR014W	-2.0	-2.0	-2.0
YMR023C			-0.08504118690625134
YMR026C		-2.0	
YMR033W		-0.08630017102333586	-0.15473087420843537
YMR047C			-0.08810094001457729
YMR048W			-0.048540113652011524
YMR052W		-0.13842018809921697	
YMR053C		-0.41530003209325783	
YMR054W		-0.1181554815549864	
YMR055C		-0.10156136529716324	
YMR058W		-0.0587462700346078	
YMR061W	-2.0	-2.0	-2.0
YMR071C			0.101009475678452
YMR073C			0.0403998581219529
YMR086W			-0.16578475974349752
YMR091C		-0.09313104199850261	-0.20682090903912306
YMR102C		-0.10338380577400202	
YMR104C		-0.11098400177120443	
YMR110C		-0.09735551046123696	
YMR117C		-2.0	
YMR118C		-0.1434625944486895	
YMR157C			0.108524277370018
YMR198W			-0.061192237209988704
YMR210W	-2.0	-2.0	-2.0
YMR215W	-0.2660015554236345	-2.0	-2.0
YMR230W	-2.0	-2.0	-2.0
YMR236W			-0.17631607469100954
YMR275C			-0.046238246136645365
YMR285C			0.102735843080389
YMR289W	-2.0		
YMR296C			-0.26141916421581907
YMR310C			-0.10415424983263281
YMR313C			-0.034392243756671596
YNL005C	-2.0	-2.0	-2.0
YNL006W	-2.0	-2.0	-2.0
YNL007C	-2.0	-2.0	-2.0
YNL008C	-2.0	-2.0	-2.0
YNL011C	-2.0	-2.0	-2.0
YNL012W	-2.0	-2.0	-2.0
YNL014W	-2.0	-2.0	-2.0
YNL016W	-0.14867478270718223	-0.09491283333872229	
YNL023C	-2.0	-2.0	-2.0
YNL029C	-2.0	-2.0	-2.0
YNL030W	-0.49695484911901816	-2.0	-2.0
YNL039W	-2.0	-2.0	-2.0
YNL103W		0.06298460094964493	0.118562836596207
YNL123W			-0.06962489703507949
YNL131W			-0.22784692325085518
YNL137C			-0.1212825625604987
YNL141W	-2.0	-2.0	-2.0
YNL148C			-0.1957070856133592
YNL149C		-2.0	-2.0
YNL156C	-2.0	-2.0	-2.0
YNL164C	-2.0	-2.0	-2.0
YNL177C	-2.0		
YNL181W			0.0539140231133863
YNL214W			0.0394211193406469
YNL216W			-0.45725350498726747
YNL223W	-2.0		
YNL232W	-0.13954585045025275	-2.0	-2.0
YNL245C	-2.0	-2.0	-2.0
YNL247W			-0.09444984700838831
YNL256W			0.0653579162231604
YNL262W	-2.0	-2.0	-2.0
YNL273W			-0.12203989524615888
YNL281W	-2.0	-2.0	-2.0
YNL309W	-0.5390652717472284	-0.5545059916473679	-2.0
YNL317W	-2.0	-2.0	-2.0
YNR002C	-2.0	-2.0	-2.0
YNR006W	-0.24699102760457323	-2.0	-2.0
YNR008W	-2.0	-2.0	-2.0
YNR016C			0.0695321824704757
YNR019W	-2.0	-2.0	-2.0
YNR020C	-2.0	-2.0	-2.0
YNR021W		-2.0	-2.0
YNR024W	-2.0	-2.0	-2.0
YNR026C	-2.0	-2.0	-2.0
YNR027W		-2.0	-2.0
YNR028W	-2.0	-2.0	-2.0
YNR029C	-2.0	-2.0	-2.0
YNR032C-A			0.0911106757000986
YNR035C	-2.0	-2.0	-2.0
YNR038W	-2.0	-2.0	-2.0
YNR039C	-2.0	-2.0	-2.0
YNR043W	-0.30685789354132575	-0.17037723974614877	-2.0
YNR045W	-0.21023624667527124	-2.0	-2.0
YNR052C	-0.45721284861613576	-2.0	-2.0
YNR057C	-2.0	-2.0	-2.0
YNR066C			0.0668583615692135
YNR069C	-0.27741213060412623	-2.0	-2.0
YOL002C	-0.04750350675476661	-0.03911457194387368	
YOL008W			-0.17075485252434175
YOL013W-A			-2.0
YOL019W			-0.055459699434058526
YOL020W			-0.06999714674862582
YOL023W			0.0903472697760857
YOL030W	-0.17941958812566788	-2.0	-2.0
YOL052C	-2.0	-2.0	
YOL067C			-0.09453214662378355
YOL090W			-0.03154927535718659
YOL105C			-0.11959606171205818
YOL127W	-0.16777917885264698	-0.1618858365797182	
YOL133W	-2.0	-2.0	-2.0
YOL135C			-2.0
YOL146W		-0.024762671074290928	-0.03159381494071143
YOL148C	-2.0	-2.0	-2.0
YOL149W			-0.04860699277271618
YOL163W			-0.15819950614669723
YOR002W			-2.0
YOR008C			-2.0
YOR023C		0.09130791926585591	
YOR039W	-0.22017409922323797	-0.23919420553281098	-2.0
YOR049C			-2.0
YOR058C			0.0430225277424462
YOR061W	-0.12013456562871654	-0.09641136833381596	-2.0
YOR063W			0.0407975975211138
YOR069W			-0.22722051184030578
YOR096W		-0.022183468238963933	
YOR165W			0.0426545438804507
YOR184W			0.0384994254665575
YOR188W	-2.0	-2.0	-2.0
YOR208W			0.0383243817857329
YOR219C			-2.0
YOR231W			0.0570407280222221
YOR236W			0.0559313524946907
YOR241W			0.0571099350892168
YOR253W			0.0337935146692882
YOR257W			0.0390303476699357
YOR260W			0.0338888178924698
YOR285W			0.0762918399266423
YOR286W			0.0450603883000604
YOR293W			-2.0
YOR294W	-2.0	-2.0	-2.0
YOR315W			-0.17778510995313596
YOR321W	-2.0	-2.0	-2.0
YOR327C			-0.1516775067997929
YOR334W	-2.0	-2.0	-2.0
YOR335C			0.0480667389735518
YOR344C			0.154395841267047
YOR353C	-2.0		
YOR359W	-2.0	-2.0	-2.0
YOR372C			0.0311787882173328
YOR373W			0.0671506478299514
YOR386W			-0.08333333566096354
YPL001W	-0.2035088636556405	-2.0	-2.0
