orf	hap alpha | growth (culture turbidity) | DiKU+Trp (DiKU+Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | DiKU-Trp (DiKU-Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | HLKU [unknown] | Cai H~Becker JM, 2006
YBR231C	0.281	0.315	0.968
YBR232C	0.883	0.4	1.0490000000000002
YBR233W	0.833	0.33399999999999996	1.089
YBR235W	1.354	0.83	1.073
YBR238C	0.993	4.085	1.067
YBR239C	1.012	1.234	1.057
YBR240C	0.96	0.897	1.0090000000000001
YBR241C	0.9620000000000001	0.451	1.045
YBR242W	0.521	0.322	0.9740000000000001
YBR244W	0.8859999999999999	0.462	0.948
YBR245C	0.775	1.3319999999999999	1.08
YBR246W	1.296	1.153	1.083
YBR248C	0.569	0.815	1.1159999999999999
YBR249C	0.33399999999999996	0.672	1.055
YBR250W	1.217	3.549	0.98
YBR251W	0.932	-0.084	0.821
YBR255W	0.685	0.179	0.9229999999999999
YBR258C	1.022	0.5529999999999999	1.095
YBR259W	1.1320000000000001	1.354	1.193
YBR260C	0.9490000000000001	0.37	1.079
YBR261C	0.828	0.439	1.167
YBR262C	0.9279999999999999	0.684	1.087
YBR263W	0.846	0.40700000000000003	1.073
YBR264C	0.9009999999999999	0.44299999999999995	1.078
YBR266C	0.6409999999999999	0.48100000000000004	1.1640000000000001
YBR267W	0.488	0.1	0.912
YBR268W	1.1520000000000001	0.517	0.878
YBR269C	1.199	0.493	1.208
YBR270C	1.054	1.112	1.067
YBR271W	1.15	1.15	1.27
YBR272C	1.131	3.484	0.853
YBR273C	0.889	1.252	1.2429999999999999
YBR274W	0.9670000000000001	0.23600000000000002	1.364
YBR275C	0.9740000000000001	0.457	0.94
YBR276C	0.909	0.612	0.861
YBR277C	0.9540000000000001	1.703	1.454
YBR278W	0.8809999999999999	1.291	1.0979999999999999
YBR279W	0.32799999999999996	0.619	0.7190000000000001
YBR280C	0.868	0.885	0.884
YBR281C	0.8029999999999999	1.524	1.422
YBR282W	0.935	0.489	1.177
YBR283C	0.961	0.603	1.078
YBR284W	1.199	-0.004	1.065
YBR285W	1.268	0.29100000000000004	1.047
YBR286W	1.5090000000000001	0.198	1.345
YBR287W	1.0270000000000001	1.261	0.96
YBR288C	1.214	2.904	0.9890000000000001
YBR289W	0.218	0.564	0.799
YBR290W	1.465	1.815	1.4580000000000002
YBR291C	0.823	1.735	1.087
YBR292C	0.6459999999999999	1.2590000000000001	1.026
YBR293W	1.117	0.35	1.275
YBR294W	0.9620000000000001	0.667	0.93
YBR295W	0.846	0.6970000000000001	1.011
YBR296C	0.601	1.258	1.028
YBR297W	1.0170000000000001	0.299	1.264
