ORF	hap a | mitotic recombination (frequency of Rad52 foci) | standard [standard] | Styles EB~Andrews BJ, 2016	hap a | mitotic recombination (frequency of Rad52 foci) | phleomycin [2.5 ng/uL] | Styles EB~Andrews BJ, 2016
YDL154W	-0.252	-1.495
YDL155W	0.942	0.956
YDL156W	0.822	1.158
YDL157C	-0.269	-0.577
YDL159W	-0.213	NaN
YDL160C	NaN	62.723
YDL161W	0.351	-0.860
YDL162C	3.951	2.888
YDL167C	-0.224	0.225
YDL168W	-0.032	0.316
YDL169C	-1.140	-1.041
YDL170W	-0.368	0.388
YDL171C	-0.436	0.644
YDL172C	-0.718	-1.488
YDL173W	0.485	0.335
YDL174C	0.099	-1.395
YDL175C	-0.160	0.188
YDL176W	-0.252	-0.229
YDL177C	-0.708	2.224
YDL178W	-0.251	0.266
YDL179W	0.207	1.010
YDL180W	0.590	1.195
YDL181W	-1.179	-0.909
YDL182W	-1.682	-0.727
YDL183C	-0.451	0.489
YDL184C	-0.544	-0.097
YDL185W	0.022	0.483
YDL186W	-0.377	1.019
YDL187C	0.398	-0.311
YDL188C	1.612	2.406
YDL189W	0.659	0.300
YDL190C	0.937	1.015
YDL191W	1.447	1.873
YDL192W	1.158	3.962
YDL194W	0.625	1.287
YDL197C	-0.482	-0.325
YDL199C	-0.540	-1.257
YDL200C	0.610	0.990
YDL201W	-0.505	-0.754
YDL203C	0.141	-0.160
YDL204W	0.202	0.717
YDL206W	0.547	1.763
YDL210W	0.273	0.427
YDL211C	0.367	-0.596
YDL213C	-0.384	-1.096
YDL214C	-0.172	0.701
YDL215C	1.152	-0.317
YDL216C	-0.246	-0.048
YDL218W	-0.506	-0.692
YDL219W	0.618	3.336
YDL222C	0.102	0.124
YDL223C	0.081	-0.991
YDL224C	-0.975	-0.768
YDL226C	0.415	1.367
YDL227C	0.267	1.005
YDL229W	-0.127	-0.584
YDL230W	0.288	-1.074
YDL231C	-0.021	-0.462
YDL232W	4.991	1.359
YDL233W	-1.148	-0.747
YDL234C	-0.412	-1.688
YDL236W	-0.040	-0.280
YDL237W	0.047	0.116
YDL238C	-0.198	-0.579
YDL239C	-0.317	-0.668
YDL240W	0.620	1.064
YDL241W	0.529	1.049
YDL242W	-0.489	-1.317
YDL243C	-0.649	-0.605
YDR001C	-0.526	-0.627
YDR003W	-0.639	-1.359
YDR004W	5.976	5.000
YDR005C	-0.894	-0.356
YDR006C	1.425	-0.204
YDR007W	0.000	NaN
YDR008C	-0.336	-0.577
YDR009W	-1.396	-1.500
YDR010C	-0.572	0.145
YDR011W	-0.945	-1.656
YDR014W	3.484	2.616
YDR015C	-0.892	-0.786
YDR018C	0.351	1.036
YDR019C	-1.897	2.771
YDR020C	-0.228	-0.016
YDR022C	-0.317	-0.386
YDR024W	-1.229	-0.423
YDR025W	-0.260	0.044
YDR026C	0.138	1.483
YDR029W	-0.170	0.438
YDR030C	0.243	1.455
YDR031W	-0.812	-1.295
YDR032C	1.124	0.392
YDR033W	-0.594	-1.769
YDR034C	0.968	4.119
YDR035W	-0.181	1.444
YDR036C	0.448	-0.268
YDR042C	0.117	0.119
YDR043C	-0.423	-0.067
YDR046C	-0.075	0.490
YDR048C	-0.398	-0.220
YDR049W	-0.445	-1.179
YDR051C	-0.418	1.327
YDR055W	0.120	-0.513
YDR056C	-0.758	-0.325
YDR057W	0.946	0.929
YDR058C	0.647	1.434
YDR059C	0.162	-1.019
YDR061W	0.963	0.456
YDR063W	-0.482	1.140
YDR066C	0.418	2.606
YDR067C	-0.251	-2.020
YDR068W	0.156	0.567
YDR070C	0.108	0.256
YDR071C	-0.417	0.350
YDR072C	0.341	-0.180
YDR073W	0.222	-0.184
YDR074W	-0.596	-0.188
YDR075W	-2.475	-1.636
YDR076W	4.561	3.893
YDR077W	0.312	-0.067
YDR080W	-1.204	0.639
YDR083W	-0.544	-0.865
YDR084C	0.234	0.009
YDR085C	-0.488	-0.505
YDR089W	-1.134	-1.113
YDR090C	0.231	-0.040
YDR092W	2.552	3.431
YDR093W	-0.821	-0.909
YDR094W	-0.659	-0.224
YDR095C	0.370	0.741
YDR096W	0.232	-0.131
YDR097C	-0.832	-1.060
YDR098C	-0.210	2.282
YDR099W	0.511	0.503
YDR100W	-0.844	-0.360
YDR101C	-0.619	0.173
YDR102C	-0.085	-0.318
YDR103W	-6.739	-6.739
YDR104C	-0.994	-1.135
YDR105C	-0.409	0.749
YDR107C	0.455	0.173
YDR108W	-0.151	0.699
YDR109C	-0.875	-1.220
YDR110W	1.070	0.141
YDR111C	-0.764	0.217
YDR112W	0.100	0.505
YDR116C	0.406	0.232
YDR117C	-0.023	-0.318
YDR119W	-0.378	-1.473
YDR120C	0.022	-0.316
YDR121W	2.293	1.595
YDR122W	-0.281	-1.884
YDR123C	-1.065	-0.917
YDR124W	0.586	1.171
YDR125C	-0.846	0.166
YDR126W	2.402	5.928
YDR127W	-3.783	NaN
YDR128W	-0.493	0.624
YDR130C	-1.083	-0.462
YDR131C	-0.132	0.315
YDR132C	0.039	-1.346
YDR133C	-0.396	-0.362
YDR134C	-0.221	0.152
YDR135C	-0.740	0.342
YDR139C	0.079	-0.510
YDR142C	0.618	0.339
YDR143C	-0.232	-0.428
YDR144C	1.358	1.570
YDR146C	0.012	-1.582
YDR147W	-0.214	0.142
YDR148C	0.117	-0.745
YDR149C	0.135	-0.833
YDR150W	0.696	1.355
YDR151C	-0.296	-0.777
YDR152W	-0.565	0.170
YDR153C	-0.586	0.270
YDR154C	0.496	1.225
YDR155C	-0.906	-0.670
YDR156W	0.208	-0.037
YDR157W	0.875	5.515
YDR158W	0.750	NaN
YDR159W	2.198	-0.146
YDR161W	0.041	-0.779
YDR162C	1.536	1.315
YDR163W	0.887	-0.140
YDR165W	0.019	0.371
YDR169C	0.564	0.936
YDR171W	0.216	1.016
YDR173C	-1.468	-3.174
YDR174W	-1.369	-0.937
YDR178W	-0.456	-0.428
YDR179C	-0.799	-0.614
YDR179W-A	0.364	0.057
YDR181C	1.043	-0.346
YDR183W	0.237	1.045
YDR184C	-0.077	0.982
YDR185C	0.347	0.323
YDR186C	-0.596	1.576
YDR191W	0.265	-0.227
YDR192C	-0.124	-1.627
YDR193W	0.638	0.530
YDR198C	-0.716	-0.548
YDR199W	-0.198	0.166
YDR202C	-0.930	-2.612
YDR203W	0.178	-1.421
YDR205W	0.590	0.529
YDR206W	-1.601	-2.253
