ORF	hom | growth (culture turbidity) | dessication [unknown] | Shima J~Takagi H, 2008
YDR026C	1.013
YDR027C	0.209
YDR028C	1.023
YDR029W	1.019
YDR030C	1.019
YDR031W	1.007
YDR032C	0.998
YDR033W	0.985
YDR034C	1.033
YDR035W	0.990
YDR036C	1.019
YDR042C	1.005
YDR043C	1.021
YDR046C	1.021
YDR048C	1.000
YDR049W	0.972
YDR051C	0.993
YDR055W	1.013
YDR056C	1.003
YDR057W	0.979
YDR058C	1.021
YDR059C	1.024
YDR061W	1.027
YDR063W	0.997
YDR065W	0.440
YDR066C	1.003
YDR067C	1.011
YDR068W	1.005
YDR069C	NaN
YDR070C	1.006
YDR071C	0.998
YDR072C	0.990
YDR073W	1.012
YDR074W	0.854
YDR075W	0.934
YDR076W	0.817
YDR077W	0.991
YDR078C	1.005
YDR079W	0.901
YDR080W	0.975
YDR083W	0.904
YDR084C	1.008
YDR085C	1.008
YDR089W	1.015
YDR090C	1.013
YDR092W	1.010
YDR093W	0.996
YDR094W	1.001
YDR095C	1.001
YDR096W	1.012
YDR097C	1.000
YDR098C	0.977
YDR099W	1.022
YDR100W	1.011
YDR101C	0.894
YDR102C	1.007
YDR104C	1.014
YDR105C	0.998
YDR107C	0.993
YDR108W	0.970
YDR109C	0.998
YDR110W	0.976
YDR111C	1.002
YDR112W	1.007
YDR114C	NaN
YDR115W	NaN
YDR116C	0.996
YDR117C	1.001
YDR119W	0.994
YDR120C	0.874
YDR121W	0.935
YDR122W	1.013
YDR123C	1.033
YDR124W	1.026
YDR125C	0.950
YDR126W	0.556
YDR127W	0.379
YDR128W	1.009
YDR129C	NaN
YDR130C	0.994
YDR131C	0.993
YDR132C	0.995
YDR133C	1.004
YDR134C	1.020
YDR135C	1.015
YDR136C	0.784
YDR137W	0.707
YDR138W	NaN
YDR139C	1.023
YDR140W	0.422
YDR142C	0.994
YDR143C	0.993
YDR144C	0.974
YDR146C	0.962
YDR147W	1.018
YDR148C	1.001
YDR149C	0.953
YDR150W	0.925
YDR151C	1.000
YDR152W	1.004
YDR153C	1.007
YDR154C	0.984
YDR155C	0.984
YDR156W	0.975
YDR157W	1.010
YDR158W	1.026
YDR159W	0.852
