ORF	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [30°C] | McClellan AJ~Frydman J, 2007	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [37ºC] | McClellan AJ~Frydman J, 2007
YPL206C	0.890	1.213
YPL207W	0.930	0.930
YPL208W	NaN	5.019
YPL212C	1.442	1.293
YPL214C	1.454	0.937
YPL215W	1.176	1.139
YPL216W	1.112	1.386
YPL219W	1.140	0.832
YPL220W	1.236	1.176
YPL221W	1.168	1.278
YPL222W	1.250	1.067
YPL223C	1.288	1.430
YPL224C	1.126	0.940
YPL225W	0.428	0.472
YPL226W	NaN	1.043
YPL227C	0.828	1.467
YPL229W	1.124	1.031
YPL230W	0.860	1.191
YPL232W	0.950	0.817
YPL236C	1.252	1.729
YPL237W	NaN	1.100
YPL239W	NaN	5.432
YPL240C	0.794	0.499
YPL241C	NaN	1.567
YPL242C	NaN	1.319
YPL244C	0.852	0.994
YPL245W	1.056	1.332
YPL246C	1.140	1.290
YPL247C	1.414	0.972
YPL248C	1.288	1.088
YPL249C	1.144	0.969
YPL250C	1.026	0.964
YPL256C	1.310	1.586
YPL257W	0.980	1.101
YPL258C	1.042	1.209
YPL259C	0.800	0.665
YPL261C	1.144	1.387
YPL262W	1.282	2.043
YPL263C	1.088	1.052
YPL264C	1.262	1.122
YPL265W	NaN	0.876
YPL267W	1.100	1.117
YPL269W	0.858	0.677
YPL270W	1.440	0.975
YPL272C	0.864	1.236
YPL273W	0.982	1.167
YPL274W	1.094	1.118
YPR001W	1.108	0.992
YPR002W	1.106	1.235
YPR003C	1.066	1.184
YPR004C	1.090	1.003
YPR005C	1.068	1.252
YPR006C	1.216	1.204
YPR007C	1.208	0.994
YPR008W	1.298	0.943
YPR009W	1.278	1.468
YPR011C	1.148	1.126
YPR012W	1.068	1.070
YPR013C	1.216	1.383
YPR014C	1.226	1.026
YPR015C	1.274	1.003
YPR017C	1.288	1.052
YPR018W	1.272	NaN
YPR020W	1.354	1.112
YPR021C	1.328	1.218
YPR022C	1.360	0.977
YPR023C	1.310	1.823
YPR026W	1.268	1.042
YPR027C	1.554	1.249
YPR028W	1.186	1.117
YPR029C	1.494	1.154
YPR030W	1.612	1.206
YPR031W	1.094	0.847
YPR032W	0.748	0.740
YPR037C	1.186	0.890
YPR038W	1.052	1.067
YPR039W	1.234	0.977
YPR040W	1.548	0.824
YPR042C	1.126	0.877
YPR044C	NaN	3.067
YPR045C	1.418	0.921
YPR046W	0.872	0.651
YPR049C	1.780	2.186
YPR050C	0.874	0.688
YPR051W	0.706	0.683
YPR052C	1.314	1.601
YPR053C	1.106	1.477
YPR054W	1.356	1.234
YPR057W	NaN	2.074
YPR058W	1.230	1.050
YPR059C	1.434	1.313
YPR060C	1.430	0.929
YPR061C	1.358	0.963
YPR062W	1.224	1.036
YPR063C	1.336	1.016
YPR064W	1.134	0.882
YPR065W	1.128	1.065
YPR066W	1.302	1.357
YPR068C	1.300	0.876
YPR069C	1.086	0.936
YPR071W	1.540	1.214
YPR073C	1.348	1.110
YPR074C	1.250	0.720
YPR075C	1.268	0.962
YPR076W	1.266	1.494
YPR077C	1.308	1.058
YPR078C	1.460	1.081
YPR079W	1.324	0.882
YPR083W	1.254	0.935
YPR084W	1.560	1.260
YPR089W	1.229	1.081
YPR091C	0.816	0.756
YPR092W	1.066	0.685
YPR093C	1.278	1.410
YPR095C	1.156	1.057
YPR096C	1.264	1.192
YPR097W	1.368	1.035
YPR098C	1.236	1.027
YPR099C	NaN	3.328
YPR100W	NaN	4.459
YPR106W	1.686	2.652
YPR109W	1.172	1.059
YPR111W	1.114	1.309
YPR114W	1.100	1.311
YPR115W	1.232	1.035
YPR116W	NaN	5.375
YPR117W	1.232	1.012
YPR118W	1.136	1.103
YPR119W	1.144	0.369
YPR120C	1.118	2.049
YPR121W	1.096	0.957
YPR122W	1.150	0.945
YPR126C	1.160	0.961
YPR127W	1.120	0.903
YPR128C	1.134	0.906
YPR129W	1.296	1.646
YPR130C	1.516	1.086
YPR138C	1.028	0.942
YPR140W	0.984	0.889
YPR145W	1.174	1.034
YPR146C	1.112	0.791
YPR147C	1.098	0.962
YPR149W	0.950	1.026
YPR150W	1.014	0.930
YPR151C	1.236	1.128
YPR152C	1.200	0.922
YPR153W	1.250	1.023
YPR154W	1.102	1.087
YPR155C	1.186	0.857
YPR156C	1.188	1.192
YPR157W	1.220	1.215
YPR158W	1.090	1.110
YPR160W	1.060	0.863
YPR166C	2.182	3.458
YPR167C	0.962	0.754
YPR170C	1.154	NaN
YPR171W	1.206	1.042
YPR172W	1.180	0.979
YPR173C	0.826	0.739
YPR174C	1.104	1.175
YPR179C	0.690	0.697
YPR184W	1.088	0.679
YPR185W	1.128	1.010
YPR188C	1.218	1.167
YPR189W	1.264	0.680
YPR192W	1.104	1.057
YPR193C	1.138	1.296
YPR194C	1.202	1.045
YPR195C	1.126	1.098
YPR196W	1.090	1.161
YPR197C	0.958	0.738
YPR198W	0.902	0.912
YPR199C	1.024	1.040
YPR200C	0.944	1.202
YPR201W	1.026	1.104
