orf	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [30 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [37 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007
YDL241W	1.104	0.86883
YDL242W	1.158	0.86256
YDL243C	1.158	1.0772
YDR001C	1.328	1.9926
YDR003W	1.252	0.89492
YDR005C	1.39	0.84845
YDR006C	1.092	0.87937
YDR007W	1.332	1.0209
YDR008C	0.99	0.8209
YDR009W	1.268	0.83273
YDR010C	1.154	0.8154
YDR011W	1.236	0.80146
YDR014W	1.21	1.5803
YDR015C	1.264	1.0417
YDR018C	1.276	0.82846
YDR019C	1.24	1.0878
YDR020C	1.382	1.2253
YDR026C	1.428	1.1727
YDR029W	1.296	0.8695
YDR030C	1.352	1.3821
YDR031W	1.394	1.3672
YDR032C	1.398	1.5355
YDR033W	1.492	1.2584
YDR034C	1.352	1.1462
YDR035W	1.356	0.93328
YDR036C	1.576	1.1648
YDR042C	1.258	0.77978
YDR043C	1.268	1.2523
YDR046C	1.542	1.2343
YDR051C	1.442	0.98428
YDR055W	1.274	1.3356
YDR056C	1.25	1.1213
YDR057W	1.218	0.84743
YDR058C	1.096	0.82411
YDR059C	1.348	1.0922
YDR061W	1.236	1.047
YDR063W	1.308	1.3179
YDR066C	1.172	1.5689
YDR068W	1.196	1.2605
YDR070C	1.336	1.1185
YDR071C	1.178	0.73185
YDR072C	1.274	1.4531
YDR073W	0.99	0.60025
YDR074W	1.638	1.0645
YDR077W	1.046	1.0952
YDR078C	1.17	1.322
YDR084C	1.152	1.4308
YDR085C	1.232	1.1718
YDR089W	1.044	1.1782
YDR090C	1.364	0.97354
YDR093W	1.008	1.087
YDR094W	1.278	0.90227
YDR095C	1.254	1.3101
YDR096W	1.434	0.70819
YDR097C	1.492	1.0987
YDR098C	1.28	1.173
YDR099W	1.154	1.2113
YDR100W	1.178	1.1674
YDR102C	1.368	0.94263
YDR104C	1.086	1.1746
YDR105C	1.318	1.0844
YDR107C	1.24	1.0156
YDR108W	1.344	0.88651
YDR109C	1.284	1.2604
YDR110W	1.242	1.5379
YDR111C	1.28	1.3909
YDR112W	1.118	1.1816
YDR116C	1.488	1.5167
YDR117C	1.238	1.3974
YDR119W	1.284	1.1103
YDR120C	0.644	1.0495
YDR122W	1.288	1.2675
YDR123C	1.262	1.0578
YDR124W	1.298	1.1846
YDR127W	1.334	1.675
YDR128W	1.23	1.0662
YDR130C	1.234	1.1709
YDR131C	1.3	1.2584
YDR132C	1.34	1.1304
YDR133C	1.31	1.2169
YDR135C	1.218	0.99352
YDR136C	0.262	
YDR139C	1.156	0.86423
YDR143C	1.302	1.7851
YDR144C	0.924	0.94581
YDR146C	1.224	0.95006
YDR147W	1.15	0.96434
YDR148C	1.248	1.1665
YDR151C	1.192	0.83323
YDR152W	1.138	1.6102
YDR153C	1.096	0.88882
YDR154C	1.128	0.83978
YDR155C	1.154	0.8612
YDR156W	1.376	3.4668
YDR157W	1.21	1.7621
YDR162C	0.712	
YDR163W	1.2	2.6473
YDR165W	1.134	1.3105
YDR169C	1.2	1.2283
YDR178W	1.296	0.96101
YDR179C	1.324	1.1851
YDR179W-A	1.198	1.0858
YDR181C	1.65	2.8477
YDR183W	1.048	1.0854
YDR184C	1.588	2.1212
YDR193W	1.02	1.0554
YDR197W	1.368	1.002
YDR198C	1.588	1.5226
YDR199W	1.432	1.5195
YDR202C	0.872	0.79534
YDR203W	0.956	0.77288
YDR205W	1.242	1.2933
YDR206W	1.248	1.4656
YDR209C	1.218	1.0409
YDR210W	1.134	1.2386
YDR213W	1.204	1.2613
YDR214W	1.248	1.091
YDR215C	1.326	1.1674
YDR216W	1.516	1.4246
YDR217C	1.284	1.2278
YDR218C	1.1	1.1243
YDR219C	1.164	1.1225
YDR220C	1.028	0.93841
YDR221W	1.302	1.1522
YDR222W	1.28	1.1612
YDR223W	1.068	1.0
YDR225W	1.564	3.4104
YDR229W	1.062	0.94451
YDR230W	1.268	1.2966
YDR233C	0.932	1.0125
YDR234W	1.182	1.1441
YDR239C	1.042	1.0712
YDR244W	1.262	0.99255
YDR247W	1.022	0.98147
YDR248C	1.024	0.96394
YDR249C	1.152	0.95132
YDR250C	1.008	1.3144
YDR251W	1.13	0.93408
YDR252W	1.054	0.83146
YDR253C	0.814	0.48156
YDR254W	0.996	0.73951
YDR255C	0.986	1.2559
YDR256C	1.13	0.9893
YDR257C	0.876	0.6396
YDR258C	1.234	0.87281
YDR259C	1.15	0.95728
YDR260C	1.098	0.34798
YDR261C	1.19	1.1294
YDR262W	1.226	0.91016
YDR263C	1.032	1.0628
YDR265W	1.156	1.2599
YDR269C	0.882	0.66192
YDR270W	1.012	0.7721
YDR271C	0.73	0.66077
YDR272W	1.17	0.93176
YDR273W	1.336	0.99351
YDR274C	1.202	0.87454
YDR275W	1.264	0.89874
YDR276C	0.486	0.41596
YDR277C	1.442	0.56046
YDR278C	1.23	1.4803
YDR279W	1.152	1.3166
YDR281C	1.502	3.1341
YDR282C	1.084	1.02
YDR283C	1.178	1.1322
YDR284C	1.146	0.99814
YDR285W	1.192	1.1907
YDR286C	1.088	1.152
YDR287W	1.246	0.98941
YDR289C	0.744	0.64965
YDR290W	0.612	1.1441
YDR291W	1.324	1.0529
YDR293C	0.7	
YDR294C	1.28	0.99931
YDR295C	0.62	0.60869
YDR297W	0.738	0.71776
YDR304C	1.194	1.2269
YDR305C	1.056	0.88532
YDR306C	1.044	1.1168
YDR307W	1.206	0.89966
YDR309C	1.098	1.0847
YDR310C	1.008	0.63385
YDR312W	1.086	1.0656
YDR313C	1.16	1.0271
YDR314C	0.994	0.82253
YDR316W	1.012	1.0266
YDR317W	0.974	1.2047
YDR319C	0.922	0.82632
YDR321W	0.962	1.1457
YDR326C	0.994	0.91048
YDR329C	0.992	0.73979
YDR330W	1.006	1.0182
YDR333C	0.91	0.99045
YDR336W	1.18	1.2921
YDR338C	1.226	1.3612
YDR340W	1.256	1.4322
YDR344C	1.074	1.0078
YDR345C	1.08	1.1165
YDR346C	1.18	0.78053
YDR348C	0.872	0.9763
YDR349C	1.136	1.7839
YDR351W	1.068	1.0518
YDR352W	1.162	1.163
YDR354W	1.164	0.93086
YDR358W	1.094	1.157
YDR368W	1.07	1.5572
YDR370C	1.04	0.97596
YDR371W	1.338	1.6797
YDR374C	1.014	0.87413
YDR375C	1.404	1.4577
YDR379W	1.264	1.2055
YDR380W	1.46	0.89045
YDR383C	0.972	1.008
YDR384C	1.412	0.82737
YDR386W	1.442	1.3908
YDR387C	1.326	0.99486
YDR389W	0.732	0.57296
YDR391C	1.204	0.89945
YDR393W	1.504	1.7053
YDR395W	1.366	2.1924
YDR400W	1.052	1.2187
YDR402C	1.024	1.1495
YDR403W	1.026	1.3052
YDR406W	1.128	1.1857
YDR409W	1.342	1.3321
YDR411C	1.186	1.0232
YDR414C	1.542	2.2508
YDR415C	0.67	0.56602
YDR419W	1.128	1.1616
YDR420W	1.134	0.94799
YDR421W	1.118	1.0438
YDR422C	1.288	0.90816
YDR423C	1.202	1.3709
YDR424C	1.198	1.0198
YDR425W	1.06	1.1904
YDR426C	1.266	1.1147
YDR430C	1.17	1.4756
YDR431W	1.232	1.3228
YDR435C	1.422	
YDR436W	1.384	1.1093
YDR438W	1.32	1.5226
YDR439W	0.766	1.3485
YDR440W	1.23	1.3961
YDR441C	1.446	1.3675
YDR443C	0.344	0.80387
YDR444W	0.836	0.70303
YDR445C	0.872	0.68669
YDR446W	1.234	0.81829
YDR447C	1.516	2.183
YDR451C	0.876	0.65929
YDR452W	1.562	1.3653
YDR453C	1.3	1.1997
YDR455C	0.918	1.1098
YDR456W	0.964	1.3767
YDR457W	0.952	
YDR458C	1.176	1.2579
YDR459C	1.276	1.2378
YDR461W	1.112	1.1446
YDR462W	2.08	2.0096
YDR465C	1.24	1.611
YDR466W	0.936	0.6783
YDR467C	0.942	0.87587
YDR469W	1.346	0.97286
YDR475C	1.139	0.961705
YDR476C	1.32	1.0851
YDR479C	1.292	1.6198
YDR480W	1.124	1.0779
YDR481C	1.16	1.2656
YDR482C	1.254	0.87495
YDR483W	1.212	1.2558
YDR486C	0.784	0.74048
YDR488C	0.926	1.0297
YDR490C	0.85	0.55369
YDR491C	1.04	0.91233
YDR492W	1.004	1.0197
YDR493W	1.176	1.0362
YDR494W	1.192	1.6809
YDR496C	0.94	4.7941
YDR497C	1.142	1.0374
YDR501W	1.096	0.95508
YDR502C	1.216	0.96887
YDR503C	1.382	1.161
YDR504C	1.262	1.0947
YDR505C	1.28	1.0821
YDR506C	1.102	1.1152
YDR508C	1.062	1.0843
YDR511W	1.3	0.74298
YDR512C	1.282	1.8864
YDR513W	1.112	1.0718
YDR514C	1.214	1.2103
YDR515W	1.32	1.1789
YDR516C	1.504	2.8306
YDR517W	1.368	1.8102
YDR518W	1.762	1.3374
YDR520C	1.032	1.0656
YDR521W	1.104	1.0825
YDR522C	1.158	1.283
YDR523C	1.376	1.1775
YDR524C	1.05	1.0297
YDR525W	1.616	6.4607
YDR525W-A	1.222	1.1007
YDR528W	1.146	1.0763
YDR530C	1.194	1.0044
YDR534C	1.304	1.2342
YDR535C	1.258	1.2281
YDR536W	1.244	1.0931
YDR537C	1.05	0.76425
YDR538W	1.156	0.9421
YDR539W	1.17	0.94836
YDR540C	1.394	0.88534
YDR541C	1.106	0.95935
YEL001C	1.8	1.0518
YEL003W	1.158	0.54191
YEL004W	1.286	0.86779
YEL005C	1.312	0.86569
YEL006W	0.996	1.0284
YEL008W	1.188	0.84094
