orf	hom | chronological lifespan | time [1 week] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [2 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [5 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [7 weeks] | Powers RW 3rd~Fields S, 2006
YBR261C	1.615178992	1.41677717	0.820622608	0.507581797
YBR262C	1.034296566	1.000088187	1.363132393	0.564421027
YBR263W	0.71366838	0.453678355	0.204473886	0.183029228
YBR264C	1.953038098	1.362247539	3.878215821	1.32455023
YBR266C	0.027390746	0.02896492	0.052492673	0.281949304
YBR267W	0.02512484	0.04643944	0.026585973	0.400701687
YBR268W	0.008811206	0.028345919	0.015769127	0.695406973
YBR269C	0.888162873	0.451638974	0.259231731	0.364299546
YBR270C	0.796830671	0.955633952	0.719594469	0.28095197
YBR271W	1.165920275	1.607066588	2.042112554	0.362402785
YBR272C	0.420328708	0.377212261	0.065321234	0.14277765
YBR273C	0.978208604	1.24912938	1.256803373	0.085124168
YBR274W	0.941780192	1.054361973	0.692029439	0.061727786
YBR275C	0.359797436	0.604125945	0.259377211	-0.173381455
YBR276C	1.766545138	2.209271579	1.456753345	0.183800992
YBR277C	0.005331418	0.021720656	0.012052487	-0.0230908
YBR278W	0.559281622	0.230955512	0.059835801	-0.024797847
YBR279W	0.007663536	0.041640263	0.009696723	-0.176759369
YBR280C	2.181432366	1.63959758	2.073424907	0.546278191
YBR281C	0.486436094	0.185693153	0.044204897	-0.343536977
YBR282W	0.001219489	0.002788689	0.003485311	-0.602963785
YBR283C	0.064778232	0.026371759	0.061780553	0.024282072
YBR284W	1.019967684	0.453231911	1.012875666	0.025775671
YBR285W	0.679910831	0.180059381	0.085701044	0.213818369
YBR286W	1.173333815	0.415377892	0.275029648	0.12411866
YBR287W	2.002748993	2.178220535	1.601417805	0.531470801
YBR288C	2.089120798	2.185460165	0.736106214	0.724284631
YBR289W	0.010377964	0.039791138	0.012623542	0.510721047
YBR290W	0.589826149	0.903708324	0.365215804	0.219799726
YBR291C	0.263569728	0.089223772	0.041420853	0.014379559
YBR292C	0.51417401	0.263392074	0.128230831	-0.006420711
YBR293W	0.819020313	1.1450938	0.796172317	0.167489678
