ORF	hap a | growth (colony size) | expression of clogging-prone Pdi1-DHFR [standard] | Ast T~Schuldiner M, 2016
YBR024W	0.939
YKL136W	0.905
YMR276W	0.932
YDR400W	1.037
YPL194W	0.880
YBR166C	0.863
YDR055W	0.838
YBR207W	0.867
YMR143W	0.938
YKL034W	0.859
YML050W	0.877
YFL042C	0.884
YGL153W	0.841
YDR282C	1.010
YLR412C-A	0.898
YDR198C	0.851
YKR030W	0.779
YNL095C	0.861
YHR200W	1.021
YPR066W	1.001
YDR438W	0.961
YCR102W-A	0.877
YOR190W	0.868
YIL149C	0.871
YOR003W	0.893
YLR102C	0.816
YDL204W	0.804
YHR204W	0.813
YJL208C	0.843
YLR395C	0.887
YGL195W	0.908
YKL008C	0.859
YBR069C	0.854
YIR032C	0.850
YNL141W	0.819
YPR013C	0.929
YGR139W	0.912
YBL062W	0.858
YDL049C	0.857
YJR131W	0.863
YLR258W	0.825
YLR093C	0.871
YGR084C	0.804
YKL050C	0.857
YKL151C	0.819
YLR124W	0.800
YMR315W-A	0.986
YCR067C	0.812
YDR285W	0.806
YDR444W	0.936
YDR483W	0.800
YOL100W	0.900
YDL013W	1.234
YDL131W	0.815
YDL146W	0.977
YDL070W	0.869
YER028C	0.868
YDR216W	0.835
YCL032W	0.875
YER137C	0.834
YNL133C	1.474
YLR037C	0.838
YOR097C	0.887
YOR175C	0.895
YLR083C	0.853
YPL061W	0.804
YEL056W	0.949
YNL326C	0.892
YIR026C	0.860
YDL100C	0.915
YJL082W	0.783
YDR063W	0.932
YGR110W	0.871
YJR119C	0.913
YNL330C	0.879
YKL084W	0.870
YKR065C	0.837
YGR291C	0.939
YLR254C	0.911
YLR342W-A	0.995
YNL050C	0.867
YNL300W	0.829
YER066C-A	0.849
YBL011W	0.877
YLR236C	0.847
YOR243C	1.042
YMR102C	0.831
YJL213W	0.864
YGL235W	0.931
YBL036C	0.817
YPL159C	0.887
YLR001C	0.884
YBL013W	0.943
YLR096W	0.847
YDR147W	0.831
YOR192C	0.793
YLR077W	1.112
YLR401C	0.963
YBR131W	1.144
YHR127W	0.850
YDR384C	0.807
YER004W	0.802
YJR009C	0.909
YNR002C	0.841
YPL140C	0.945
YLR150W	0.906
YMR133W	0.881
YGR269W	0.878
YLR176C	0.836
YBL001C	1.015
YDL119C	0.880
YLR013W	0.863
YMR266W	0.768
YGL252C	0.893
YLR125W	0.837
YFR012W	0.955
YLR004C	0.944
YGR007W	0.913
YGR226C	0.868
YNL108C	0.840
YGL196W	0.864
YER090W	0.869
YDL034W	0.891
YER035W	0.913
YGR169C	0.842
YLR049C	0.841
YEL006W	0.905
YIL102C	0.766
YBR125C	0.853
YHL042W	0.974
YFL015C	0.861
YPL104W	0.875
YKL086W	0.863
YIL041W	0.879
YPR171W	0.857
YDR348C	0.900
YNL201C	0.924
YDR210W	0.864
YDL175C	1.025
YEL053C	0.953
YLL062C	0.856
YDR007W	0.917
YFL040W	0.923
YEL036C	0.897
YFL027C	0.878
YNL169C	1.123
YML119W	0.924
YNL289W	0.896
YBL098W	0.882
YJL093C	0.916
YIL059C	0.851
YKL142W	0.819
YEL064C	0.841
YIL122W	0.716
YBL106C	0.860
YMR141C	0.918
YLR365W	0.942
YOR344C	0.878
YOR357C	0.843
YHL035C	0.878
YKR104W	0.877
YDR257C	0.924
YER064C	0.865
YDR359C	0.895
YMR096W	0.866
YOR154W	0.918
YLR012C	0.862
YJL045W	0.910
YIL007C	0.871
YPR020W	1.101
YGR039W	0.781
YLR228C	0.907
YNL167C	0.875
YGR072W	0.888
YGR097W	0.875
YMR136W	0.995
YPL078C	0.878
YKL166C	0.977
YKL067W	0.955
YNR047W	0.975
YOL128C	0.911
YDR034C	1.621
YCL076W	0.884
YER091C	0.838
YBR090C	0.900
YHR009C	0.929
YBR183W	0.841
YGR247W	0.889
YBR089C-A	0.905
YIR043C	0.902
YMR072W	0.906
YHR123W	0.942
YDR284C	1.010
YAL008W	0.838
YDL186W	0.895
YNL111C	0.927
YGR138C	0.837
YGL165C	0.802
YKL215C	0.850
YLR247C	0.830
YDR351W	0.869
YDR152W	0.876
YNL265C	0.895
YGL034C	0.834
YBR077C	1.232
YBR162W-A	0.911
YOL016C	0.777
YOR298W	0.913
YAL007C	0.843
YJL207C	0.879
YFR016C	0.884
YOL095C	1.021
YGR225W	0.915
YLR387C	0.864
YPR151C	0.935
YJL038C	0.861
YDR229W	0.925
YGL236C	0.791
YKL094W	0.896
YOR124C	0.868
YLR097C	0.866
YKR044W	0.878
YGR188C	1.343
YIL058W	0.888
YLR456W	0.868
YGR203W	0.847
YDR032C	0.941
YJL094C	0.849
YEL066W	0.872
YOR382W	0.918
YOR142W	0.893
YJR087W	0.928
YPL180W	1.381
YMR278W	0.926
YNL116W	0.890
YDR022C	0.896
YLR036C	0.983
YML007W	0.805
YMR106C	0.891
YKL063C	0.912
YOL059W	0.874
YGL041C-B	0.869
YBR240C	0.895
YMR161W	0.835
YKL214C	0.928
YNL241C	0.881
YMR040W	0.859
YML095C	0.842
YOR316C-A	0.882
YDL142C	0.975
YBL047C	0.891
YKL140W	0.891
YDR203W	0.980
YNR029C	0.963
YDR070C	0.845
YJL016W	0.986
YER144C	0.953
YML061C	0.988
YOR072W	0.901
YDR119W	0.915
YIL027C	0.871
YIL064W	0.894
YHR160C	0.902
YDR374C	0.841
YOL163W	0.939
YKR052C	0.946
YDR035W	0.910
YDR295C	1.021
YPR077C	0.920
YBR201W	0.918
YCR073C	0.948
YHL041W	0.880
YCR014C	0.849
YOL141W	0.868
YOR291W	0.959
YMR258C	0.867
YHR064C	1.375
YOR270C	0.953
YOR222W	0.878
YOR104W	0.910
YBR147W	0.970
YML058W-A	0.947
YPL257W	1.045
YFL047W	0.861
YML070W	0.855
YOR076C	0.944
YBR046C	0.903
YAL042C-A	0.935
YER162C	0.936
YPL125W	0.947
YOL112W	0.860
YNL157W	0.908
YIL132C	0.904
YGL121C	0.875
YGR041W	0.878
YER135C	0.840
YKL072W	0.906
YKR091W	0.837
YFR049W	0.903
YCR081W	1.674
YDR001C	0.844
YNL318C	0.964
YDR534C	0.905
YIL131C	0.750
YNL166C	0.858
YMR121C	0.948
YOR059C	0.901
YJL175W	1.564
YML128C	0.857
YLR317W	1.399
YGR276C	1.006
YIL065C	0.886
YGR268C	0.931
YOR330C	0.951
YOR307C	0.908
YDR080W	1.187
YLR306W	0.893
YJL135W	1.052
YML054C-A	0.945
YLR327C	0.879
YKR089C	0.857
YBL104C	0.972
YLR181C	0.819
YHR159W	0.891
