Line,Ca44,Cd111,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Zn66
YBR202W_ko,1.189531238,0.996722235,-0.333759938,-1.645213574,0.563550011,0.032337266,2.515318284,0.385839318,0.993807544,1.288673635,-0.01632817,0.848221353,2.411128301,0.465097199
YBR211C_ko,-0.442943096,0.284015833,0.317532934,-1.056831213,-0.399857562,-0.661215677,-0.590220197,0.477273238,0.576638475,0.051471122,0.673702192,-0.347976539,0.955946692,0.34133396
YBR234C_ko,-0.014926387,-0.120976309,1.32363013,-1.090318176,-0.159953753,-0.579494918,-0.461675062,0.836842962,0.514423054,-0.591982666,-0.779017192,-0.436335892,1.085183056,-3.614692255
YBR236C_ko,0.288017949,-0.42129687,-0.143019665,-1.510210491,-0.337082022,-0.643591294,-0.319125767,0.484084543,1.501208645,-0.052169892,-0.059846044,0.987356509,0.956020413,-0.109821413
YBR237W_ko,0.20182708,0.621374601,1.090364877,-0.431660207,-0.391487055,-0.478229936,-0.112768963,0.628672596,0.710236998,0.39186849,0.970591464,1.278779357,0.721344305,-1.103834319
YBR243C_ko,1.163511884,-0.972331569,-0.408891618,-1.408725074,-3.187278617,-1.098770802,-1.513146866,1.290616528,0.401196442,-0.062898168,-1.057660829,0.08112712,0.583148659,0.04051683
YBR247C_ko,0.417648071,-0.191591982,-0.258466503,-1.588971866,-0.054182274,-0.063244424,0.283540056,0.594430339,0.987318306,0.749429204,0.167997532,0.765131927,1.246179496,-0.277614475
YBR252W_ko,-0.28915428,0.813992921,1.198359858,-0.989339929,0.173016945,-0.36655506,-0.665650976,-0.269146128,0.834729597,-0.130660772,-1.988231843,-0.454186989,0.777332069,0.967968279
YBR253W_ko,0.123923493,0.198463357,1.020905711,-1.465983799,-0.118552102,-0.413935559,-0.637951538,0.171035517,0.56909863,0.461831403,-2.632811889,0.02241426,0.892950384,1.194745562
YBR254C_ko,0.208472614,0.431395479,0.127386783,-1.571212568,-0.865822029,-0.774770046,0.066512745,1.072369695,1.565871379,-0.195226285,-0.059349545,0.455805799,0.659771871,0.389253097
YBR256C_ko,-0.624347096,0.716530942,-0.289773881,-1.126403541,0.213042676,-0.804257612,-0.702590249,0.302159076,0.697947776,0.473265571,0.751546901,-0.147455923,1.652282848,0.497858638
YBR257W_ko,2.003332946,0.550739056,1.157561282,0.143288231,-3.536431422,-1.622167125,1.124415601,-1.02182776,-2.182658298,-0.821780717,1.052092589,-0.251926808,3.262721722,-0.303496928
